SGG_NM,CNTRCT_DE,RENT_GTN
강남구,2022-01-01,36060
강남구,2022-01-02,46250
강남구,2022-01-03,94702.8125
강남구,2022-01-04,83545.45455
강남구,2022-01-05,73113.06452
강남구,2022-01-06,95970
강남구,2022-01-07,87613.92453
강남구,2022-01-08,75994.62766
강남구,2022-01-09,81185.71429
강남구,2022-01-10,80766.5625
강남구,2022-01-11,82592.12821
강남구,2022-01-12,80786.78125
강남구,2022-01-13,65778.40476
강남구,2022-01-14,68573.07547
강남구,2022-01-15,67540.83333
강남구,2022-01-16,80590.71429
강남구,2022-01-17,64034.25
강남구,2022-01-18,84240.02273
강남구,2022-01-19,71542.34146
강남구,2022-01-20,85747.45
강남구,2022-01-21,73409.32
강남구,2022-01-22,76100.59375
강남구,2022-01-23,50253.5
강남구,2022-01-24,80549.35
강남구,2022-01-25,72235.30769
강남구,2022-01-26,72327.02083
강남구,2022-01-27,82101.36585
강남구,2022-01-28,76606.92308
강남구,2022-01-29,83321.42857
강남구,2022-01-30,58225
강남구,2022-01-31,106875
강남구,2022-02-01,170000
강남구,2022-02-02,67000
강남구,2022-02-03,89416
강남구,2022-02-04,76179.34783
강남구,2022-02-05,70326.45349
강남구,2022-02-06,92386.36364
강남구,2022-02-07,76925
강남구,2022-02-08,82298.625
강남구,2022-02-09,68821.33333
강남구,2022-02-10,64911.58537
강남구,2022-02-11,82679.32203
강남구,2022-02-12,81520.38889
강남구,2022-02-13,84493.75
강남구,2022-02-14,73498.43243
강남구,2022-02-15,72590.94595
강남구,2022-02-16,108811.25
강남구,2022-02-17,88297.87234
강남구,2022-02-18,77328.28947
강남구,2022-02-19,79833.21348
강남구,2022-02-20,101318.75
강남구,2022-02-21,90450.61111
강남구,2022-02-22,72607.37143
강남구,2022-02-23,75263.11765
강남구,2022-02-24,96439.125
강남구,2022-02-25,72829.31034
강남구,2022-02-26,70327.80282
강남구,2022-02-27,76500
강남구,2022-02-28,104707.2368
강남구,2022-03-01,80144.375
강남구,2022-03-02,61024.07407
강남구,2022-03-03,75296.08108
강남구,2022-03-04,85019.74359
강남구,2022-03-05,76024.46154
강남구,2022-03-06,72250
강남구,2022-03-07,84737.72727
강남구,2022-03-08,94983.33333
강남구,2022-03-09,62108.33333
강남구,2022-03-10,67477.41935
강남구,2022-03-11,81500
강남구,2022-03-12,77189.01786
강남구,2022-03-13,87518.88889
강남구,2022-03-14,51106.81818
강남구,2022-03-15,81388.07692
강남구,2022-03-16,63733.95833
강남구,2022-03-17,60573.86207
강남구,2022-03-18,82176.42857
강남구,2022-03-19,68302.62712
강남구,2022-03-20,91444.44444
강남구,2022-03-21,64704
강남구,2022-03-22,66868.97674
강남구,2022-03-23,82896.42857
강남구,2022-03-24,81246.61538
강남구,2022-03-25,82835.07843
강남구,2022-03-26,76462.82051
강남구,2022-03-27,51531.25
강남구,2022-03-28,85661.02941
강남구,2022-03-29,83009.64286
강남구,2022-03-30,95733.125
강남구,2022-03-31,105384.0741
강남구,2022-04-01,102885.5263
강남구,2022-04-02,78836.12903
강남구,2022-04-03,66500
강남구,2022-04-04,73541.66667
