SGG_NM,YM,RENT_GTN
강남구,2022-01,77104.51172190784
강남구,2022-02,79944.3714547118
강남구,2022-03,77279.2582781457
강남구,2022-04,76155.81757402101
강남구,2022-05,66080.5529953917
강남구,2022-06,75346.15557830092
강남구,2022-07,78914.21823770492
강남구,2022-08,79870.37345331833
강남구,2022-09,81737.28944099379
강남구,2022-10,87734.16019417475
강남구,2022-11,82977.83116883117
강남구,2022-12,78066.51732991014
강남구,2023-01,71218.57699443413
강동구,2022-01,47842.68281430219
강동구,2022-02,47604.67910447761
강동구,2022-03,46264.008717310084
강동구,2022-04,46499.75784190715
강동구,2022-05,44926.45121951219
강동구,2022-06,44048.38223938224
강동구,2022-07,44434.56261343013
강동구,2022-08,45122.845303867405
강동구,2022-09,46019.16077738516
강동구,2022-10,45626.22243713733
강동구,2022-11,45301.87866108787
강동구,2022-12,44983.4688057041
강동구,2023-01,41500.56235827664
강북구,2022-01,36025.64024390244
강북구,2022-02,32647.75925925926
강북구,2022-03,35677.431506849316
강북구,2022-04,34454.544041450776
강북구,2022-05,35841.02923976608
강북구,2022-06,35937.51807228916
강북구,2022-07,29497.61325966851
강북구,2022-08,34821.796178343946
강북구,2022-09,36961.13114754098
강북구,2022-10,35476.0
강북구,2022-11,34283.02362204724
강북구,2022-12,34364.52631578947
강북구,2023-01,33835.828571428574
강서구,2022-01,32280.353637901862
강서구,2022-02,31250.105928853754
강서구,2022-03,30927.986869384935
강서구,2022-04,32344.678431372547
강서구,2022-05,31389.542569659443
강서구,2022-06,32013.301418439718
강서구,2022-07,29748.114794352365
강서구,2022-08,27650.568880688807
강서구,2022-09,33218.75433789955
강서구,2022-10,32948.12655800575
강서구,2022-11,30183.447368421053
강서구,2022-12,32755.558047493403
강서구,2023-01,31096.17571884984
관악구,2022-01,37006.56675749319
관악구,2022-02,37359.76368159204
관악구,2022-03,39140.0325732899
관악구,2022-04,38984.13953488372
관악구,2022-05,38910.21965317919
관악구,2022-06,38326.80866425993
관악구,2022-07,38364.76899696048
관악구,2022-08,40618.681818181816
관악구,2022-09,41013.014285714286
관악구,2022-10,41616.833333333336
관악구,2022-11,36743.98564593301
관악구,2022-12,36301.42907801418
관악구,2023-01,36466.443925233645
광진구,2022-01,53169.49206349206
광진구,2022-02,61081.6975308642
광진구,2022-03,56611.25589225589
광진구,2022-04,61517.00714285715
광진구,2022-05,58765.5321888412
광진구,2022-06,60245.70980392157
광진구,2022-07,57504.279475982534
광진구,2022-08,60346.68205128205
광진구,2022-09,57668.66255144033
광진구,2022-10,53296.05150214592
광진구,2022-11,51961.913223140495
광진구,2022-12,47325.75892857143
광진구,2023-01,50278.831168831166
구로구,2022-01,32265.50837988827
