SGG_NM,YM,RENT_GTN,RENT_FEE
강남구,2022-01,36622.36823104693,160.24097472924188
강남구,2022-02,32489.08805668016,157.14676113360323
강남구,2022-03,29044.920084121975,157.1882229232387
강남구,2022-04,32240.42777155655,166.8622620380739
강남구,2022-05,33019.6374501992,151.54681274900398
강남구,2022-06,34533.717391304344,144.34057971014494
강남구,2022-07,37048.92733990148,163.59729064039408
강남구,2022-08,40262.67471410419,168.59466327827192
강남구,2022-09,41060.57341772152,167.99493670886076
강남구,2022-10,40873.742749054225,168.1374527112232
강남구,2022-11,39620.376158940395,155.71523178807948
강남구,2022-12,36324.026837806305,144.46207701283546
강남구,2023-01,36715.36272040302,134.4785894206549
강동구,2022-01,18219.70554493308,75.5774378585086
강동구,2022-02,15845.096,64.8912
강동구,2022-03,10748.449793672627,57.29986244841815
강동구,2022-04,13651.454205607477,68.396261682243
강동구,2022-05,12953.751260504201,55.45378151260504
강동구,2022-06,13668.286821705426,73.97932816537468
강동구,2022-07,15081.233606557376,73.08401639344262
강동구,2022-08,16600.702290076337,75.34096692111959
강동구,2022-09,18105.27093596059,77.7807881773399
강동구,2022-10,17800.52556818182,80.05397727272727
강동구,2022-11,13892.713963963964,72.91441441441441
강동구,2022-12,11861.504716981131,58.416666666666664
강동구,2023-01,16071.440909090908,73.9
강북구,2022-01,7925.385185185185,55.60740740740741
강북구,2022-02,7563.436123348018,65.78414096916299
강북구,2022-03,7107.720930232558,50.33953488372093
강북구,2022-04,8950.384615384615,74.15384615384616
강북구,2022-05,9782.940298507463,57.75373134328358
강북구,2022-06,6929.517857142857,47.648809523809526
강북구,2022-07,6591.723404255319,48.86702127659574
강북구,2022-08,7297.666666666667,74.36585365853658
강북구,2022-09,8844.95652173913,61.92391304347826
강북구,2022-10,10612.26923076923,68.55128205128206
강북구,2022-11,7601.691666666667,67.18333333333334
강북구,2022-12,9204.78,72.48
강북구,2023-01,5140.6557377049185,60.42622950819672
강서구,2022-01,6574.400655021834,59.14192139737991
강서구,2022-02,7182.606199770379,59.385763490241104
강서구,2022-03,6513.831611570248,56.03202479338843
강서구,2022-04,7525.4217252396165,57.222577209797656
강서구,2022-05,7703.955990220049,57.32762836185819
강서구,2022-06,8903.75104895105,59.820979020979024
강서구,2022-07,8487.161943319838,53.952429149797574
강서구,2022-08,8864.097502972652,59.22711058263972
강서구,2022-09,10046.69031377899,62.49113233287858
강서구,2022-10,10042.332339791355,63.843517138599104
강서구,2022-11,7799.666666666667,57.15977961432507
강서구,2022-12,7174.762155059133,61.349540078843624
강서구,2023-01,7516.170542635659,60.54521963824289
관악구,2022-01,7065.880859375,58.80859375
관악구,2022-02,8539.766826923076,62.33413461538461
관악구,2022-03,10529.949367088608,59.51898734177215
관악구,2022-04,9834.20145631068,60.62378640776699
관악구,2022-05,9482.9,57.34166666666667
관악구,2022-06,9713.461711711712,53.236486486486484
관악구,2022-07,8095.638115631692,51.34475374732334
관악구,2022-08,12622.959798994974,61.59045226130653
관악구,2022-09,11157.93352601156,63.70809248554913
관악구,2022-10,11851.527777777777,60.69444444444444
관악구,2022-11,9870.27027027027,66.42567567567568
관악구,2022-12,9170.076212471131,62.418013856812934
관악구,2023-01,10341.175879396986,62.005025125628144
광진구,2022-01,15677.957317073171,85.30182926829268
광진구,2022-02,20649.81300813008,81.32520325203252
광진구,2022-03,17915.144104803494,95.88646288209607
광진구,2022-04,20191.990950226245,100.07239819004525
광진구,2022-05,22063.526041666668,94.08854166666667
광진구,2022-06,18761.77251184834,96.72511848341232
광진구,2022-07,16681.088397790056,98.92265193370166
광진구,2022-08,18561.004219409282,86.65400843881856
