CNTRCT_DE,RENT_GTN
2022-01-01,36060
2022-01-02,46250
2022-01-03,94702.8125
2022-01-04,83545.45455
2022-01-05,73113.06452
2022-01-06,95970
2022-01-07,87613.92453
2022-01-08,75994.62766
2022-01-09,81185.71429
2022-01-10,80766.5625
2022-01-11,82592.12821
2022-01-12,80786.78125
2022-01-13,65778.40476
2022-01-14,68573.07547
2022-01-15,67540.83333
2022-01-16,80590.71429
2022-01-17,64034.25
2022-01-18,84240.02273
2022-01-19,71542.34146
2022-01-20,85747.45
2022-01-21,73409.32
2022-01-22,76100.59375
2022-01-23,50253.5
2022-01-24,80549.35
2022-01-25,72235.30769
2022-01-26,72327.02083
2022-01-27,82101.36585
2022-01-28,76606.92308
2022-01-29,83321.42857
2022-01-30,58225
2022-01-31,106875
2022-02-01,170000
2022-02-02,67000
2022-02-03,89416
2022-02-04,76179.34783
2022-02-05,70326.45349
2022-02-06,92386.36364
2022-02-07,76925
2022-02-08,82298.625
2022-02-09,68821.33333
2022-02-10,64911.58537
2022-02-11,82679.32203
2022-02-12,81520.38889
2022-02-13,84493.75
2022-02-14,73498.43243
2022-02-15,72590.94595
2022-02-16,108811.25
2022-02-17,88297.87234
2022-02-18,77328.28947
2022-02-19,79833.21348
2022-02-20,101318.75
2022-02-21,90450.61111
2022-02-22,72607.37143
2022-02-23,75263.11765
2022-02-24,96439.125
2022-02-25,72829.31034
2022-02-26,70327.80282
2022-02-27,76500
2022-02-28,104707.2368
2022-03-01,80144.375
2022-03-02,61024.07407
2022-03-03,75296.08108
2022-03-04,85019.74359
2022-03-05,76024.46154
2022-03-06,72250
2022-03-07,84737.72727
2022-03-08,94983.33333
2022-03-09,62108.33333
2022-03-10,67477.41935
2022-03-11,81500
2022-03-12,77189.01786
2022-03-13,87518.88889
2022-03-14,51106.81818
2022-03-15,81388.07692
2022-03-16,63733.95833
2022-03-17,60573.86207
2022-03-18,82176.42857
2022-03-19,68302.62712
2022-03-20,91444.44444
2022-03-21,64704
2022-03-22,66868.97674
2022-03-23,82896.42857
2022-03-24,81246.61538
2022-03-25,82835.07843
2022-03-26,76462.82051
2022-03-27,51531.25
2022-03-28,85661.02941
2022-03-29,83009.64286
2022-03-30,95733.125
2022-03-31,105384.0741
2022-04-01,102885.5263
2022-04-02,78836.12903
2022-04-03,66500
2022-04-04,73541.66667
2022-04-05,76046.55172
2022-04-06,87020.48148
2022-04-07,67671.73529
2022-04-08,70728.5641
2022-04-09,69315.85714
2022-04-10,86217
2022-04-11,66260.30303
2022-04-12,76037.15152
2022-04-13,84267.5
2022-04-14,67373.75
2022-04-15,75617.54545
2022-04-16,73778.82979
2022-04-17,82514.28571
2022-04-18,89699.1
2022-04-19,90829.90625
2022-04-20,75085.81818
2022-04-21,78308.04878
2022-04-22,78237.35556
2022-04-23,72977.6
2022-04-24,76935
2022-04-25,64386.43478
2022-04-26,60102.56667
2022-04-27,77442.1875
2022-04-28,72797.88889
2022-04-29,77852.09302
2022-04-30,74409.71014
2022-05-01,117666.6667
2022-05-02,73924.19355
2022-05-03,81741.55556
2022-05-04,98233.92593
2022-05-05,81222.5
2022-05-06,83033.46429
2022-05-07,69626.47059
2022-05-09,71372.61905
2022-05-10,76517.10526
2022-05-11,42823.11688
2022-05-12,51031.09259
2022-05-13,55816.38462
2022-05-14,58877.75439
2022-05-15,106206.1538
2022-05-16,46384.05882
2022-05-17,40637.05405
2022-05-18,49644.89655
2022-05-19,60046.19608
2022-05-20,71280.86154
2022-05-21,75966
2022-05-22,84675
2022-05-23,67536.79661
2022-05-24,80133.18605
2022-05-25,63346.5
2022-05-26,69651.675
2022-05-27,76190.35897
2022-05-28,72283.96364
2022-05-29,102721.875
2022-05-30,85138.35714
2022-05-31,106099.0313
2022-06-01,68885.34211
2022-06-02,56553.14815
2022-06-03,89527.27273
2022-06-04,70523.93617
2022-06-05,88640
2022-06-06,91331.81818
2022-06-07,101193.7931
2022-06-08,73952.08333
2022-06-09,93887.09677
2022-06-10,93060.2
2022-06-11,66961.47541
2022-06-12,122528.5714
2022-06-13,80808.33333
2022-06-14,65019.71875
2022-06-15,88449.82927
2022-06-16,83321.33333
2022-06-17,52981.1
2022-06-18,74790.46875
2022-06-19,52576.85714
2022-06-20,72869.375
2022-06-21,74288
2022-06-22,58042.02857
2022-06-23,58436.56757
2022-06-24,58556.44444
2022-06-25,86540.08929
2022-06-26,67950
2022-06-27,66923.18519
2022-06-28,71574.73529
2022-06-29,88398.64286
2022-06-30,73979.96552
2022-07-01,71058.25
2022-07-02,78332.36364
2022-07-03,150125
2022-07-04,78564.16667
2022-07-05,107620.9259
2022-07-06,67980
2022-07-07,65780
2022-07-08,83550.75758
2022-07-09,69645.89286
2022-07-10,89500
2022-07-11,64542.71429
2022-07-12,79173.45238
2022-07-13,75883.42105
2022-07-14,104389.7826
2022-07-15,94236.25
2022-07-16,71553.60759
2022-07-17,81260
2022-07-18,88709.89474
2022-07-19,80541.54839
2022-07-20,77313.22222
2022-07-21,72902.5
2022-07-22,66808.60976
2022-07-23,81462.34848
2022-07-24,44325
2022-07-25,72931.60606
2022-07-26,65424.59091
2022-07-27,78527.20588
2022-07-28,94834.51613
2022-07-29,84101.78571
2022-07-30,72023.78788
2022-07-31,112968.75
2022-08-01,94500
2022-08-02,78097
2022-08-03,83469.56522
2022-08-04,116980.9524
2022-08-05,74345.04167
2022-08-06,78208.53448
2022-08-07,46500
2022-08-08,84014.58333
2022-08-09,98142.14286
2022-08-10,83996.2963
2022-08-11,79882.25
2022-08-12,56603.55172
2022-08-13,75227.59322
2022-08-14,45875
2022-08-15,64870
2022-08-16,72060.36364
2022-08-17,75996.02632
2022-08-18,66285.5
2022-08-19,78113.4
2022-08-20,81118.25397
2022-08-21,62475
2022-08-22,69830.16667
2022-08-23,98643.21212
2022-08-24,81625.90625
2022-08-25,72705.61538
2022-08-26,79523.63636
2022-08-27,75727.9
2022-08-28,107418.75
2022-08-29,100959.1304
2022-08-30,82687.72727
2022-08-31,83945.51724
2022-09-01,100175.6429
2022-09-02,80544.84848
2022-09-03,74214.81481
2022-09-04,89871.6
2022-09-05,89524.33333
2022-09-06,85135.68
2022-09-07,65812.93103
2022-09-08,88375
2022-09-09,104125
2022-09-10,45000
2022-09-11,160000
2022-09-12,123750
2022-09-13,73792.10526
2022-09-14,76344.9375
2022-09-15,78623.36111
2022-09-16,63154.80488
2022-09-17,69605.56452
2022-09-18,114687.5
2022-09-19,81699.48485
2022-09-20,64953.64
2022-09-21,79937.70588
2022-09-22,88727.82857
2022-09-23,80047.22857
2022-09-24,75479.87037
2022-09-25,82285.90909
2022-09-26,102182.1429
2022-09-27,100416.439
2022-09-28,86637.69444
2022-09-29,96360.34483
2022-09-30,93638.75862
2022-10-01,84777.55102
2022-10-02,104100
2022-10-03,57958.75
2022-10-04,80756.48649
2022-10-05,86395.95652
2022-10-06,87053.22581
2022-10-07,86383.25926
2022-10-08,87103.125
2022-10-09,28000
2022-10-10,90450
2022-10-11,66955.32143
2022-10-12,93730
2022-10-13,118271.4054
2022-10-14,103133.6579
2022-10-15,94638.77778
2022-10-16,58250
