CNTRCT_DE,RENT_GTN
2022-01-01,57658.33333
2022-01-02,45530
2022-01-03,49767.05882
2022-01-04,44411.45833
2022-01-05,45466.62963
2022-01-06,51944.23077
2022-01-07,43906.55172
2022-01-08,53326.54321
2022-01-09,51116.66667
2022-01-10,46098.59375
2022-01-11,52457.89474
2022-01-12,54762.03704
2022-01-13,50822.11538
2022-01-14,44585.89744
2022-01-15,52486.42045
2022-01-16,54150
2022-01-17,51826.31034
2022-01-18,49283.57143
2022-01-19,42330.14286
2022-01-20,44810.26316
2022-01-21,42347.04348
2022-01-22,46449.6875
2022-01-23,63320
2022-01-24,37504.51724
2022-01-25,44287.71429
2022-01-26,35295.3125
2022-01-27,41853.46154
2022-01-28,57978.77778
2022-01-29,45011.90476
2022-01-30,59700
2022-01-31,49500
2022-02-01,52500
2022-02-02,45937.5
2022-02-03,49316.6
2022-02-04,42459.51613
2022-02-05,43773.62903
2022-02-06,53083.85714
2022-02-07,57859.13043
2022-02-08,49657.89474
2022-02-09,45131.30435
2022-02-10,49692.24138
2022-02-11,52006.12903
2022-02-12,48164.93506
2022-02-13,55865
2022-02-14,34308.92857
2022-02-15,43660.12121
2022-02-16,50314.30435
2022-02-17,44128.70968
2022-02-18,44393.52941
2022-02-19,52029.62222
2022-02-20,58257.14286
2022-02-21,45122.48
2022-02-22,43434.66667
2022-02-23,47953.16129
2022-02-24,47471.875
2022-02-25,48654
2022-02-26,51818.51852
2022-02-27,54408.33333
2022-02-28,41613.57576
2022-03-01,49138.23529
2022-03-02,46615
2022-03-03,37074.8
2022-03-04,46548.83333
2022-03-05,47793.06452
2022-03-06,56071.42857
2022-03-07,54838.88889
2022-03-08,46881.47059
2022-03-09,45966
2022-03-10,41036.66667
2022-03-11,40645.65217
2022-03-12,48687.2549
2022-03-13,55890.625
2022-03-14,43682.35294
2022-03-15,48160.2381
2022-03-16,49465.2381
2022-03-17,39199.9
2022-03-18,45070
2022-03-19,50255.98361
2022-03-20,51466.66667
2022-03-21,41447.92063
2022-03-22,46248.08333
2022-03-23,40974.96154
2022-03-24,33062.61905
2022-03-25,43343.42105
2022-03-26,53313.62069
2022-03-27,53730
2022-03-28,38228.05263
2022-03-29,41611.32143
2022-03-30,55657.29167
2022-03-31,46477.77778
2022-04-01,43516.66667
2022-04-02,53248.78261
2022-04-03,61000
2022-04-04,40475.6875
2022-04-05,47996.83333
2022-04-06,47012.5
2022-04-07,46793.68421
2022-04-08,42854.19048
2022-04-09,53711.53846
2022-04-10,75500
2022-04-11,41513.63636
2022-04-12,54441.53846
2022-04-13,54501
2022-04-14,50317.5
2022-04-15,46616.39394
2022-04-16,53043.92308
2022-04-17,47850
2022-04-18,39397
2022-04-19,44811.61111
2022-04-20,42766.09091
2022-04-21,37708.5
2022-04-22,32835.11111
2022-04-23,56854.44444
2022-04-24,56609.375
2022-04-25,31516.73529
2022-04-26,35434.44828
2022-04-27,42673.88
2022-04-28,47785.71429
2022-04-29,45749.42424
2022-04-30,51912.08333
2022-05-01,45907.14286
2022-05-02,48159.4
2022-05-03,39450
2022-05-04,54727.52941
2022-05-05,55775
2022-05-06,36207.89474
2022-05-07,50364.81481
2022-05-08,46500
2022-05-09,45293.65854
2022-05-10,38812.79412
2022-05-11,43843.51852
2022-05-12,40270.1875
2022-05-13,46086.15789
2022-05-14,51122.54902
2022-05-15,54075
2022-05-16,46009
2022-05-17,45158.33333
2022-05-18,57653.57143
2022-05-19,38693.72414
2022-05-20,47685.96667
2022-05-21,46643.93182
2022-05-22,40460
2022-05-23,41105.05882
2022-05-24,34952.68182
2022-05-25,42300.52941
2022-05-26,39965
2022-05-27,44614.23077
2022-05-28,43581.77419
2022-05-29,41112.5
2022-05-30,52685.71429
2022-05-31,36399.6
2022-06-01,43530.76923
2022-06-02,38845.88235
2022-06-03,41492.52381
2022-06-04,46586.96429
2022-06-05,36064
2022-06-06,43888.88889
2022-06-07,43705.45455
2022-06-08,58156.25
2022-06-09,42663.58824
2022-06-10,36683.84615
2022-06-11,51098.3871
2022-06-12,63600
2022-06-13,42883.5
2022-06-14,39241.81818
2022-06-15,43176.94444
2022-06-16,46446.36364
2022-06-17,37267.86957
2022-06-18,49761.02703
2022-06-19,62670
2022-06-20,41912.10526
2022-06-21,31462.61538
2022-06-22,41895.42308
2022-06-23,38044.11111
2022-06-24,38423.88889
2022-06-25,52443.75
2022-06-26,40430
2022-06-27,34468.22222
2022-06-28,35210.65217
2022-06-29,46510.5
2022-06-30,47882.83333
2022-07-01,48345.15385
2022-07-02,44363.06452
2022-07-03,72450
2022-07-04,37552.5
2022-07-05,40012.5
