CNTRCT_DE,RENT_GTN
2022-01-01,15500
2022-01-03,38831.25
2022-01-04,50000
2022-01-05,39683.33333
2022-01-06,42833.33333
2022-01-07,21191.66667
2022-01-08,41979.41176
2022-01-09,17500
2022-01-10,38359.375
2022-01-11,26989.25
2022-01-12,41392.85714
2022-01-13,34880
2022-01-14,36292.5
2022-01-15,36177.77778
2022-01-17,28275
2022-01-18,23073.75
2022-01-19,25750
2022-01-20,43972.22222
2022-01-21,40160
2022-01-22,40659.09091
2022-01-23,35325
2022-01-24,40671.42857
2022-01-25,14460.6
2022-01-26,30166.66667
2022-01-28,40591.66667
2022-01-29,40660
2022-01-30,47000
2022-02-03,38150
2022-02-04,34028.63636
2022-02-05,28292.85714
2022-02-07,28925
2022-02-08,34671.875
2022-02-09,29086.5
2022-02-10,28583.33333
2022-02-11,27440.11111
2022-02-12,36245
2022-02-13,14700
2022-02-14,23437.5
2022-02-15,26464.625
2022-02-16,26254.28571
2022-02-17,46983.33333
2022-02-18,30800
2022-02-19,42222.64706
2022-02-21,28437.5
2022-02-22,31454
2022-02-23,23970
2022-02-24,27174.5
2022-02-25,31816.66667
2022-02-26,44700
2022-02-27,34666.66667
2022-02-28,34666.66667
2022-03-01,45150
2022-03-02,45275
2022-03-03,32500
2022-03-04,36700
2022-03-05,28325
2022-03-06,56000
2022-03-07,32880
2022-03-08,21011.25
2022-03-09,42687.5
2022-03-10,30000
2022-03-11,40000
2022-03-12,37703.75
2022-03-14,49000
2022-03-15,29970.71429
2022-03-16,41155.55556
2022-03-17,41100
2022-03-18,32887.5
2022-03-19,34555
2022-03-20,53000
2022-03-21,38162.5
2022-03-22,32950
2022-03-23,32975
2022-03-24,33000
2022-03-25,45500
2022-03-26,29211.15385
2022-03-27,45000
2022-03-28,33828.57143
2022-03-29,34750
2022-03-30,29766.66667
2022-03-31,39400
2022-04-01,42912.5
2022-04-02,38405
2022-04-03,43975
2022-04-04,25158.5
2022-04-05,34407.14286
2022-04-06,39063.88889
2022-04-07,18500
2022-04-08,36785.71429
2022-04-09,41996.875
2022-04-10,30666.66667
2022-04-11,33506.25
2022-04-12,26894.44444
2022-04-13,3856.5
2022-04-14,29166.66667
2022-04-15,25666.66667
2022-04-16,34503.125
2022-04-17,33925
2022-04-18,23000
2022-04-19,37466.66667
2022-04-20,43083.33333
2022-04-21,29389.125
2022-04-22,40750
2022-04-23,40254.16667
2022-04-24,43000
2022-04-25,30370.90909
2022-04-26,25598.33333
2022-04-27,39730
2022-04-28,44050
2022-04-29,31975
2022-04-30,31328.57143
2022-05-01,40633.33333
2022-05-02,35050
2022-05-03,22378.57143
2022-05-04,34010
2022-05-05,27180
2022-05-06,37400
