CNTRCT_DE,RENT_GTN
2022-01-01,27675
2022-01-02,34000
2022-01-03,35234.03448
2022-01-04,34978.75
2022-01-05,29537.63889
2022-01-06,30006.85714
2022-01-07,29408.86047
2022-01-08,30438.45977
2022-01-09,28384.28571
2022-01-10,39128.33333
2022-01-11,29959
2022-01-12,32174.14894
2022-01-13,30159.7193
2022-01-14,33337.55102
2022-01-15,30590.76119
2022-01-16,39724.58333
2022-01-17,37043.5
2022-01-18,28381.09804
2022-01-19,31968.88095
2022-01-20,38472.63889
2022-01-21,29020.66667
2022-01-22,36244.11458
2022-01-23,42380
2022-01-24,29373.55
2022-01-25,32278.66667
2022-01-26,32255.29167
2022-01-27,28818.02222
2022-01-28,27385.48649
2022-01-29,31114.23529
2022-01-30,80000
2022-02-02,17250
2022-02-03,32323.6875
2022-02-04,27621.96429
2022-02-05,31176.70455
2022-02-06,34071.4
2022-02-07,23409.83784
2022-02-08,27181.25
2022-02-09,29446.86275
2022-02-10,31038.72
2022-02-11,32329
2022-02-12,32418.94737
2022-02-13,38703
2022-02-14,31741.43478
2022-02-15,27708.63462
2022-02-16,30698.12245
2022-02-17,27950.46
2022-02-18,33083.30645
2022-02-19,28176.21429
2022-02-20,36250.625
2022-02-21,32825.26531
2022-02-22,31055.69388
2022-02-23,38141.44444
2022-02-24,32465.25
2022-02-25,37606.64063
2022-02-26,30543.14607
2022-02-27,35546.25
2022-02-28,31162.46939
2022-03-01,34235.55556
2022-03-02,31690
2022-03-03,25143.41667
2022-03-04,30592.55814
2022-03-05,33192.4
2022-03-06,36124.44444
2022-03-07,31326.41304
2022-03-08,30225.65517
2022-03-09,32717.50847
2022-03-10,28611.69444
2022-03-11,30514.7619
2022-03-12,33558.58947
2022-03-13,30470.58824
2022-03-14,32007.02703
2022-03-15,26926.67797
2022-03-16,26337.49057
2022-03-17,28719.88333
2022-03-18,29378.44828
2022-03-19,33732.76596
2022-03-20,33536.25
2022-03-21,33078.03846
2022-03-22,30777.13559
2022-03-23,28432.23404
2022-03-24,25752.86047
2022-03-25,29031.96552
2022-03-26,32883.47059
2022-03-27,37381.25
2022-03-28,25682.375
2022-03-29,34624.35135
2022-03-30,37158.51163
2022-03-31,34601.88235
2022-04-01,30341.22
2022-04-02,32463.43478
2022-04-03,29927.5
2022-04-04,32132.05128
2022-04-05,38281.15909
2022-04-06,31675.19565
2022-04-07,35555.71429
2022-04-08,30881.32609
2022-04-09,35120.70103
2022-04-10,32995.58824
2022-04-11,30880.09524
2022-04-12,29931.61765
2022-04-13,34710.18644
2022-04-14,30445
2022-04-15,32094.375
2022-04-16,27533.85417
2022-04-17,30400
2022-04-18,31237.5
2022-04-19,31038.7037
2022-04-20,38220.75
2022-04-21,26323.31915
2022-04-22,31841.90196
2022-04-23,32218.5098
2022-04-24,30828.57143
2022-04-25,27933.35135
2022-04-26,34984.8
2022-04-27,30743.75556
2022-04-28,31184.91837
2022-04-29,33975
2022-04-30,36774.6875
2022-05-01,30021.36364
2022-05-02,31546.19231
2022-05-03,31901.55556
2022-05-04,34697.02632
2022-05-05,34508.23529
2022-05-06,33136.53488
2022-05-07,29473.96774
2022-05-08,39108.33333
2022-05-09,32580.80328
2022-05-10,30035.15789
2022-05-11,31690.77778
2022-05-12,31459.17143
2022-05-13,27282.97727
2022-05-14,34398.59551
2022-05-15,34322.22222
2022-05-16,24682.94737
2022-05-17,32784.90909
2022-05-18,34476.45238
2022-05-19,29811.55882
2022-05-20,28400.34694
2022-05-21,34291.17021
2022-05-22,34896.66667
2022-05-23,33213.46
2022-05-24,26172.33333
2022-05-25,25829.29545
2022-05-26,31657.01818
2022-05-27,31440.25
2022-05-28,34992.04211
2022-05-29,33132.69231
2022-05-30,30128.54545
2022-05-31,28834
2022-06-01,29204.4878
2022-06-02,27006.70732
2022-06-03,31221.32653
2022-06-04,30848.91667
2022-06-05,24733.33333
2022-06-06,31349.375
2022-06-07,38726.52174
2022-06-08,38186.4359
2022-06-09,37011.02632
2022-06-10,34688.91837
2022-06-11,28948.98889
2022-06-12,24464.2
2022-06-13,31406.35
2022-06-14,29050.88889
2022-06-15,35107.73684
2022-06-16,28691.06452
2022-06-17,29873.42857
2022-06-18,37388.57778
2022-06-19,37416.66667
2022-06-20,32720.38889
2022-06-21,34181.25
2022-06-22,31879.83333
2022-06-23,32740.72973
2022-06-24,30473.30952
2022-06-25,31591.46739
2022-06-26,37188.63636
2022-06-27,35665.05
2022-06-28,25401.91176
2022-06-29,27541.36842
2022-06-30,32422.96667
2022-07-01,33943.86567
2022-07-02,31429.77273
2022-07-03,31041.5
2022-07-04,28629.13636
2022-07-05,33288
2022-07-06,32735.08571
2022-07-07,34015.025
2022-07-08,27454.5
2022-07-09,35876.03226
2022-07-10,30261.11111
2022-07-11,27343.32692
