CNTRCT_DE,RENT_GTN
2022-01-01,27900
2022-01-03,54800
2022-01-04,38670
2022-01-05,38800
2022-01-06,32716.3
2022-01-07,35821
2022-01-08,42938.94737
2022-01-09,30971.42857
2022-01-10,24632.64286
2022-01-11,42575.5
2022-01-12,34242.2069
2022-01-13,22018.66667
2022-01-14,37780
2022-01-15,39430.64516
2022-01-16,37875
2022-01-17,39113.58333
2022-01-18,41666.66667
2022-01-19,30350
2022-01-20,34575
2022-01-21,35373.52941
2022-01-22,39882.25806
2022-01-23,33212.5
2022-01-24,31428.77778
2022-01-25,45792.85714
2022-01-26,28141.53846
2022-01-27,39259.09091
2022-01-28,38240.90909
2022-01-29,39818.18182
2022-01-30,22500
2022-02-01,45000
2022-02-03,28828.57143
2022-02-04,43265.625
2022-02-05,33729.16667
2022-02-06,29540
2022-02-07,39186.11111
2022-02-08,35700
2022-02-09,33711.17647
2022-02-10,35180.47826
2022-02-11,30423.21429
2022-02-12,37653.67647
2022-02-13,33825
2022-02-14,48499.11765
2022-02-15,39232.95
2022-02-16,29627.1875
2022-02-17,39750
2022-02-18,42204.54545
2022-02-19,31978.125
2022-02-20,25086
2022-02-21,33752.94118
2022-02-22,34128.57143
2022-02-23,39583.33333
2022-02-24,41153.57143
2022-02-25,45105.55556
2022-02-26,40575
2022-02-27,28625
2022-02-28,43446.875
2022-03-01,34996.15385
2022-03-02,33187.5
2022-03-03,39095
2022-03-04,40630
2022-03-05,47241.17647
2022-03-06,44625
2022-03-07,20917
2022-03-08,39245.45455
2022-03-09,41183.33333
2022-03-10,34968.75
2022-03-11,35293.83333
2022-03-12,42691.66667
2022-03-13,24866.66667
2022-03-14,40888.88889
2022-03-15,40263.18182
2022-03-16,50158.33333
2022-03-17,41325
2022-03-18,36555.55556
2022-03-19,42218.42105
2022-03-20,50400
2022-03-21,38075
2022-03-22,37383.33333
2022-03-23,29921.11111
2022-03-24,29965
2022-03-25,34349.16667
2022-03-26,41193.18182
2022-03-27,40033.33333
2022-03-28,31600
2022-03-29,47752.08333
2022-03-30,37304.54545
2022-03-31,42910
2022-04-01,39645.83333
2022-04-02,42208.82353
2022-04-03,13500
2022-04-04,42332.14286
2022-04-05,23394.25
2022-04-06,30491.14286
2022-04-07,34084.77778
2022-04-08,39280.41667
2022-04-09,47006.65385
2022-04-10,36000
2022-04-11,41222.72727
2022-04-12,39428.57143
2022-04-13,38077.77778
2022-04-14,51043
2022-04-15,40417.64706
2022-04-16,34744.33333
2022-04-17,41062.5
2022-04-18,29887.54545
2022-04-19,35376.44444
2022-04-20,42576.92308
2022-04-21,51242.85714
2022-04-22,36689.58333
2022-04-23,43738.17391
2022-04-24,28733.33333
2022-04-25,44417.69231
2022-04-26,31318.75
2022-04-27,35635
2022-04-28,38776.66667
2022-04-29,35215
2022-04-30,43696.15385
2022-05-01,30356.25
2022-05-02,49875
2022-05-03,38153.07692
2022-05-04,43607.14286
2022-05-05,27700
2022-05-06,50287.5
2022-05-07,44710
2022-05-08,54000
2022-05-09,33837.36364
2022-05-10,28605.84615
2022-05-11,40565.21429
2022-05-12,37984.2
2022-05-13,40257.89474
2022-05-14,39704.82143
2022-05-15,34077.77778
2022-05-16,36504.16667
2022-05-17,42222.22222
2022-05-18,39174.84615
2022-05-19,29784.375
2022-05-20,51500
2022-05-21,44779.62963
2022-05-22,34175
2022-05-23,35238.18182
2022-05-24,30831.81818
2022-05-25,43216.66667
2022-05-26,34930
2022-05-27,40200
2022-05-28,43718.18182
2022-05-29,41591.66667
2022-05-30,33456.66667
2022-05-31,37091.11111
2022-06-01,42465.78947
2022-06-02,37578.4
2022-06-03,30562.5
2022-06-04,38936.53333
2022-06-05,41700
2022-06-06,35216.66667
2022-06-07,45512.5
2022-06-08,24084.5
2022-06-09,18057.2
2022-06-10,40123.90909
2022-06-11,42239.41176
2022-06-12,37500
2022-06-13,41100
2022-06-14,42575
2022-06-15,30790
2022-06-16,31750
2022-06-17,31025
2022-06-18,42154.48276
2022-06-19,32500
2022-06-20,48260
2022-06-21,62066.66667
2022-06-22,53018.5
2022-06-23,30123.625
2022-06-24,29900
2022-06-25,41319.56522
2022-06-26,29975
2022-06-27,34216.875
2022-06-28,41237.5
2022-06-29,39633.33333
2022-06-30,48666.66667
2022-07-01,33993
2022-07-02,33277.14286
2022-07-03,37720
2022-07-04,36410
2022-07-05,17564.125
2022-07-06,31790.38462
2022-07-07,32838
2022-07-08,42075.75
2022-07-09,41102.88889
2022-07-10,26052.25
2022-07-11,25701.81818
2022-07-12,27441.42857
2022-07-13,36208
2022-07-14,44766.66667
2022-07-15,40945.45455
2022-07-16,43428.46154
2022-07-17,40234.5
2022-07-18,49628.125
2022-07-19,34769.45455
2022-07-20,38112.11111
2022-07-21,46373.54545
2022-07-22,40157.14286
2022-07-23,42218.18182
2022-07-24,42000
2022-07-25,46296.42857
2022-07-26,33835
2022-07-27,37973.07692
2022-07-28,40516.66667
2022-07-29,45632.85
2022-07-30,38916.6875
2022-07-31,32000
2022-08-01,31310.71429
2022-08-02,27000
2022-08-03,38683.33333
2022-08-04,37427.75
2022-08-05,40802.75
2022-08-06,45316.71429
2022-08-07,33862.5
2022-08-08,35076.125
2022-08-09,36227.14286
2022-08-10,52250
2022-08-11,44527.78571
2022-08-12,41263.63636
2022-08-13,39318.42105
2022-08-14,26200
2022-08-15,38125
2022-08-16,40330.71429
2022-08-17,43920
2022-08-18,56516.66667
2022-08-19,44416.11111
2022-08-20,40295.37037
2022-08-21,39290
2022-08-22,37512.5
2022-08-23,39372.5
2022-08-24,43567.89474
2022-08-25,49504.16667
2022-08-26,33027.10526
2022-08-27,45060.52632
2022-08-28,31880
2022-08-29,39528.30769
2022-08-30,42634.61538
2022-08-31,36195.45455
2022-09-01,44483.33333
2022-09-02,40040.625
2022-09-03,42565
2022-09-04,31170
2022-09-05,33987.5
2022-09-06,32215.57143
2022-09-07,29244.44444
2022-09-08,37978.94118
2022-09-12,38240
2022-09-13,48237.5
2022-09-14,39687.27778
2022-09-15,51900
2022-09-16,40471.85714
2022-09-17,41146.875
2022-09-18,43509.09091
2022-09-19,45444.73684
2022-09-20,40266.66667
2022-09-21,35109.75
2022-09-22,53636.36364
2022-09-23,32703.2
2022-09-24,43343.51852
2022-09-25,41912.5
2022-09-26,38750
2022-09-27,41049.5
2022-09-28,39723.5
2022-09-29,47199.09091
2022-09-30,39031.25
2022-10-01,44656
2022-10-02,27100
2022-10-03,46772.22222
2022-10-04,28811.11111
2022-10-05,35151.36364
2022-10-06,35875
2022-10-07,42285
2022-10-08,44550
2022-10-09,40114.28571
2022-10-10,47000
2022-10-11,47696.91667
2022-10-12,41185.71429
2022-10-13,45857.14286
2022-10-14,46366.66667
2022-10-15,42711.90476
2022-10-16,32200
2022-10-17,43000
2022-10-18,40000
2022-10-19,39300
2022-10-20,44227.77778
2022-10-21,31333.33333
2022-10-22,46900
2022-10-23,46000
2022-10-24,38245.45455
2022-10-25,39700
2022-10-26,35883.33333
2022-10-27,37264.28571
2022-10-28,43640
2022-10-29,43553.57143
2022-10-30,30166.66667
2022-10-31,47983.84615
2022-11-01,24779.16667
2022-11-02,38466.66667
2022-11-03,29760
2022-11-04,34000
2022-11-05,43655.88235
2022-11-06,47000
2022-11-07,31472.85714
2022-11-08,40476.3
2022-11-09,39283.11111
2022-11-10,41990
2022-11-11,32166.66667
2022-11-12,38300
2022-11-13,75000
2022-11-14,23828.57143
2022-11-15,23791.66667
2022-11-16,36044
2022-11-17,38861.42857
2022-11-18,39600
2022-11-19,34163.33333
2022-11-21,40600
2022-11-22,36006.54545
2022-11-23,34291.66667
2022-11-24,44950
2022-11-25,33000
2022-11-26,38076.66667
2022-11-27,13500
2022-11-28,44571.42857
2022-11-29,36000
2022-11-30,32063.75
2022-12-01,39150
2022-12-02,47341.66667
2022-12-03,37589.28571
2022-12-04,38500
2022-12-05,34400
2022-12-06,27420
2022-12-07,23625
2022-12-08,39798.88889
2022-12-09,41166.66667
2022-12-10,39904
2022-12-11,29666.66667
2022-12-12,25248.57143
2022-12-13,35636.5
2022-12-14,31768.2
2022-12-15,41222.94118
2022-12-16,33581.5
2022-12-17,43793.42105
2022-12-18,41800
2022-12-19,47250
2022-12-20,31545
2022-12-21,17720
2022-12-22,34419
2022-12-23,35636.36364
2022-12-24,42063.47826
2022-12-25,37250
2022-12-26,37590
2022-12-27,30440
2022-12-28,38920
2022-12-29,22700
2022-12-30,26000
2022-12-31,45083.33333
2023-01-01,50000
2023-01-02,25233.33333
2023-01-03,43853.88889
2023-01-04,30357.14286
2023-01-05,27666.66667
2023-01-06,32544.44444
2023-01-07,43308.82353
2023-01-08,22000
2023-01-09,31563.63636
2023-01-10,34171.42857
2023-01-11,28148.57143
2023-01-12,34916.66667
2023-01-13,43360
2023-01-14,41316.66667
2023-01-15,35887.5
2023-01-16,37187.5
2023-01-17,37500
2023-01-18,33872.72727
2023-01-19,40742
2023-01-20,43514.28571
2023-01-22,55000
2023-01-24,47000
2023-01-25,32818.18182
2023-01-26,31880
2023-01-27,26980
2023-01-28,41810
2023-01-29,57500
2023-01-30,31978.33333
