CNTRCT_DE,RENT_GTN
2022-01-01,45000
2022-01-02,132000
2022-01-03,43156.25
2022-01-04,51658.33333
2022-01-05,46325
2022-01-06,58200
2022-01-07,66250
2022-01-08,52478.30303
2022-01-10,50093.18182
2022-01-11,41423.33333
2022-01-12,41390.90909
2022-01-13,37045
2022-01-14,51622.36842
2022-01-15,64742.85714
2022-01-16,24000
2022-01-17,29492.22222
2022-01-18,54959.09091
2022-01-19,47842.85714
2022-01-20,46760.71429
2022-01-21,49215
2022-01-22,60026.04167
2022-01-23,56000
2022-01-24,44919.78571
2022-01-25,67205.06667
2022-01-26,62378.57143
2022-01-27,49042.35294
2022-01-28,62786.76923
2022-01-29,61157.14286
2022-01-30,93000
2022-02-03,68431.81818
2022-02-04,57269.56522
2022-02-05,63979.62963
2022-02-06,34200
2022-02-07,62791.66667
2022-02-08,61897.27273
2022-02-09,80860
2022-02-10,59710.16667
2022-02-11,52714.07692
2022-02-12,62942.1875
2022-02-13,69937.5
2022-02-14,62450
2022-02-15,53637.5
2022-02-16,38185
2022-02-17,77872.72727
2022-02-18,64013.63636
2022-02-19,63575.92593
2022-02-20,54937.5
2022-02-21,47050
2022-02-22,50666.66667
2022-02-23,81575
2022-02-24,48367.5
2022-02-25,80411.53846
2022-02-26,52850.76923
2022-02-27,54600
2022-02-28,62364.28571
2022-03-01,56340
2022-03-02,37128.57143
2022-03-03,64250
2022-03-04,67062.5
2022-03-05,57535.41667
2022-03-06,31950
2022-03-07,59714.70588
2022-03-08,38462.5
2022-03-09,59937.5
2022-03-10,58164.28571
2022-03-11,55943.75
2022-03-12,67871.42857
2022-03-13,40950
2022-03-14,83088.88889
2022-03-15,40599.61538
2022-03-16,55202
2022-03-17,71466.66667
2022-03-18,44655.55556
2022-03-19,71611.76471
2022-03-20,80000
2022-03-21,49973.33333
2022-03-22,45435.71429
2022-03-23,77762.5
2022-03-24,43991.30769
2022-03-25,66666.66667
2022-03-26,61272.27273
2022-03-27,52500
2022-03-28,35300
2022-03-29,46301.45455
2022-03-30,52583.33333
2022-03-31,59287.5
2022-04-01,69725
2022-04-02,49975
2022-04-03,80000
2022-04-04,37020.83333
2022-04-05,60250
2022-04-06,37380
2022-04-07,50843.75
2022-04-08,77535.71429
2022-04-09,56522.5
2022-04-10,94675
2022-04-11,60618.18182
2022-04-12,56468.75
2022-04-13,50821.42857
2022-04-14,79937.5
2022-04-15,59372.5
2022-04-16,75577.77778
2022-04-17,59583.33333
2022-04-18,73394
2022-04-19,48533.33333
2022-04-20,89616.66667
2022-04-21,67143.75
2022-04-22,72127.8
2022-04-23,53876
2022-04-24,75000
2022-04-25,50192.30769
2022-04-26,54716.66667
2022-04-27,63933.33333
2022-04-28,69412.5
2022-04-29,91208.33333
2022-04-30,54609.09091
2022-05-01,43100
2022-05-02,73765.38462
2022-05-03,78600
2022-05-04,41900
2022-05-05,47490
2022-05-06,58125
2022-05-07,47680
2022-05-08,24000
2022-05-09,56687.5
2022-05-10,57735.71429
2022-05-11,51179.16667
2022-05-12,89922.22222
2022-05-13,54660.41667
2022-05-14,43003.63636
2022-05-15,80966.66667
2022-05-16,66667.22222
2022-05-17,31833.33333
2022-05-18,63561.53846
2022-05-19,47328.125
2022-05-20,64372.72727
2022-05-21,43600
2022-05-23,36034.55556
2022-05-24,59045.45455
2022-05-25,66260
2022-05-26,75585
2022-05-27,67722.6
2022-05-28,64183.33333
2022-05-29,61875
2022-05-30,77250
2022-05-31,74000
2022-06-01,69525
2022-06-02,71155.55556
2022-06-03,72141.66667
2022-06-04,58940.2381
2022-06-05,107000
2022-06-06,60683.33333
2022-06-07,72500
2022-06-08,60850
2022-06-09,46700
2022-06-10,70850
2022-06-11,53753.58333
2022-06-12,71466.66667
2022-06-13,91944.44444
2022-06-14,66333.33333
2022-06-15,45718.75
2022-06-16,47462.22222
2022-06-17,56750
2022-06-18,50973.88889
2022-06-20,47150
2022-06-21,69833.33333
2022-06-22,75790
2022-06-23,56988.88889
2022-06-24,68354.16667
2022-06-25,64874.54545
2022-06-26,85350
2022-06-27,48750
2022-06-28,50760
2022-06-29,44320.83333
2022-06-30,53656.66667
2022-07-01,60735.45455
2022-07-02,59165.625
2022-07-04,49442.85714
2022-07-05,75600
2022-07-06,59212.5
2022-07-07,56594.44444
2022-07-08,44560
2022-07-09,54755.27778
2022-07-11,56021.11111
2022-07-12,23000
2022-07-13,48387.5
2022-07-14,67391.66667
2022-07-15,66100
2022-07-16,64207.91667
2022-07-17,34500
2022-07-18,36237.5
2022-07-19,59825
2022-07-20,52333.33333
2022-07-21,59290
2022-07-22,58577.27273
2022-07-23,48095.6
2022-07-24,65250
2022-07-25,40808.33333
2022-07-26,59883.33333
2022-07-27,93337.5
2022-07-28,60292.875
2022-07-29,53100
2022-07-30,59953.57143
2022-07-31,93500
2022-08-01,47975
2022-08-02,82075
2022-08-03,73280
2022-08-04,88710
2022-08-05,42500
2022-08-06,112333.3333
2022-08-08,46090
2022-08-09,73666.66667
2022-08-10,66514.28571
2022-08-11,53220
2022-08-12,58333.33333
2022-08-13,55115
2022-08-14,52000
2022-08-15,78000
2022-08-16,61470
2022-08-17,57301.66667
2022-08-18,58966.66667
2022-08-19,53405.83333
2022-08-20,54290.90909
2022-08-21,63478.5
2022-08-22,62833.33333
2022-08-23,53456.25
2022-08-24,58751.22222
2022-08-25,77899.16667
2022-08-26,47995.55556
2022-08-27,55235.29412
2022-08-28,19000
2022-08-29,70000
2022-08-30,62350
2022-08-31,59475
2022-09-01,64027.77778
2022-09-02,47895.45455
2022-09-03,64047.05882
2022-09-04,15000
2022-09-05,38657.14286
2022-09-06,57042.85714
2022-09-07,55840.38462
2022-09-08,93485.71429
2022-09-09,22000
2022-09-12,57500
2022-09-13,69138.88889
2022-09-14,57250
2022-09-15,57952.27273
2022-09-16,54912.5
2022-09-17,56084.8
2022-09-18,40000
2022-09-19,23000
2022-09-20,74865.83333
2022-09-21,50226.66667
2022-09-22,59770.83333
2022-09-23,48436.36364
2022-09-24,62240
2022-09-26,50237.5
2022-09-27,43172.72727
2022-09-28,71417.85714
2022-09-29,59205.55556
2022-09-30,57216.66667
2022-10-01,58505.55556
2022-10-03,43983.33333
2022-10-04,58317.77778
2022-10-05,57371.42857
2022-10-06,53277.77778
2022-10-07,43168.75
2022-10-08,42371.17647
2022-10-09,33000
2022-10-10,45422.5
2022-10-11,32235.90909
2022-10-12,45792.30769
2022-10-13,46550
2022-10-14,67146.66667
2022-10-15,57390.55556
2022-10-16,38000
2022-10-17,63000
2022-10-18,69650
2022-10-19,54035
2022-10-20,54800
2022-10-21,22916.66667
2022-10-22,59792.10526
2022-10-23,39250
2022-10-24,75960
2022-10-25,59433.33333
2022-10-26,75333.33333
2022-10-27,52395.83333
2022-10-28,48990.90909
2022-10-29,63216.66667
2022-10-30,100000
2022-10-31,45831.25
2022-11-01,42980
2022-11-02,67241.42857
2022-11-03,38233.33333
2022-11-04,46497.77778
2022-11-05,52608.6
2022-11-06,55400
2022-11-07,46458.125
2022-11-08,38641.25
2022-11-09,59838.8
2022-11-10,31658.75
2022-11-11,55827.27273
2022-11-12,47562.5
2022-11-14,36105
2022-11-15,53568.33333
2022-11-16,67200
2022-11-17,42810
2022-11-18,41437.5
