CNTRCT_DE,RENT_GTN
2022-01-01,36250
2022-01-02,35366
2022-01-03,39425
2022-01-04,23637.64706
2022-01-05,24070
2022-01-06,31126.92308
2022-01-07,43532.35294
2022-01-08,35347.98077
2022-01-09,32783.33333
2022-01-10,38136.11111
2022-01-11,35223.625
2022-01-12,34750
2022-01-13,26394.70588
2022-01-14,33019.44444
2022-01-15,33295.45455
2022-01-16,24644.44444
2022-01-17,27113.65217
2022-01-18,29274.9
2022-01-19,21700
2022-01-20,34803.84615
2022-01-21,30154.92
2022-01-22,37043.36538
2022-01-23,30851.16667
2022-01-24,26365.24
2022-01-25,29384.61905
2022-01-26,33980.5
2022-01-27,29606.66667
2022-01-28,33283.54545
2022-01-29,29257.69231
2022-01-30,23500
2022-02-02,33000
2022-02-03,30776.63636
2022-02-04,30885.71429
2022-02-05,29469.21875
2022-02-06,27522.22222
2022-02-07,29317.29167
2022-02-08,25658.33333
2022-02-09,34193.75
2022-02-10,36565.21739
2022-02-11,32222.09677
2022-02-12,33115.60606
2022-02-13,34150
2022-02-14,29217.85714
2022-02-15,29944.92857
2022-02-16,22276.56818
2022-02-17,25511.9375
2022-02-18,27947.875
2022-02-19,35018.86486
2022-02-20,25416.66667
2022-02-21,29690.7
2022-02-22,29991.72222
2022-02-23,38071.05263
2022-02-24,34808.69565
2022-02-25,33820.625
2022-02-26,31335.9375
2022-02-27,36400
2022-02-28,34330
2022-03-01,37998.57143
2022-03-02,33609.09091
2022-03-03,28542.22222
2022-03-04,36003.84615
2022-03-05,35614.14634
2022-03-06,27925
2022-03-07,25380.76923
2022-03-08,30041.11111
2022-03-09,37577.3913
2022-03-10,33113.33333
2022-03-11,33229.11111
2022-03-12,39089
2022-03-13,23926.66667
2022-03-14,34283.5
2022-03-15,31505.25641
2022-03-16,23781.4375
2022-03-17,31669.4
2022-03-18,33006.80952
2022-03-19,35510.78571
2022-03-20,35413.18182
2022-03-21,30925.03571
2022-03-22,31721
2022-03-23,49267.5
2022-03-24,36018.83333
2022-03-25,36280
2022-03-26,32063.69048
2022-03-27,30988.88889
2022-03-28,38330
2022-03-29,26754
2022-03-30,33165.25
2022-03-31,32611.11111
2022-04-01,41325
2022-04-02,37693.47826
2022-04-03,19000
2022-04-04,31272.72727
2022-04-05,27525
2022-04-06,34074.11765
2022-04-07,40226.31579
2022-04-08,33401.04167
2022-04-09,42553.63636
2022-04-10,43375
2022-04-11,26542.28
2022-04-12,29273.8
2022-04-13,20687.95385
2022-04-14,20535.14706
2022-04-15,27671.46667
2022-04-16,29105.125
2022-04-17,40740
2022-04-18,37641.56522
2022-04-19,25033.23529
2022-04-20,26748.90244
2022-04-21,21969.33333
2022-04-22,28068.54839
2022-04-23,35867
2022-04-24,40970
2022-04-25,34067.73077
2022-04-26,32977.6875
2022-04-27,29451.79167
2022-04-28,25328.8
2022-04-29,31872.24
2022-04-30,36313.44828
2022-05-01,35000
2022-05-02,36994.83333
2022-05-03,38800
2022-05-04,36050
2022-05-05,34866.66667
2022-05-06,35186.36364
2022-05-07,34193.18182
2022-05-08,35700
2022-05-09,32515.41667
2022-05-10,32120.58333
2022-05-11,32220
2022-05-12,27581.4375
2022-05-13,39452.56
2022-05-14,38152.40741
2022-05-15,29212.5
2022-05-16,35326.64706
2022-05-17,26858.46154
2022-05-18,36954.85714
2022-05-19,34323.52941
2022-05-20,36623.63636
2022-05-21,35282
2022-05-22,34230
2022-05-23,29735.14286
2022-05-24,35420
2022-05-25,32535.29412
2022-05-26,35866.53846
2022-05-27,30706.81818
2022-05-28,35403.22581
2022-05-29,26100
2022-05-30,34478.57143
