CNTRCT_DE,RENT_GTN
2022-01-02,16833.33333
2022-01-03,25485.71429
2022-01-04,22563.63636
2022-01-05,24683.33333
2022-01-06,28740
2022-01-07,26964.70588
2022-01-08,23976.33333
2022-01-09,27504
2022-01-10,33019.44444
2022-01-11,24850
2022-01-12,32213.63636
2022-01-13,27733.33333
2022-01-14,25170.22222
2022-01-15,35992.04545
2022-01-16,18750
2022-01-17,31318.88889
2022-01-18,23313.63636
2022-01-19,42333.33333
2022-01-20,28975
2022-01-21,26485
2022-01-22,26106.25
2022-01-23,21169.23077
2022-01-24,24531.11111
2022-01-25,26521.42857
2022-01-26,24866.66667
2022-01-27,32522.8125
2022-01-28,37718.46154
2022-01-29,38645.83333
2022-01-30,40083.33333
2022-02-01,35000
2022-02-03,26421.42857
2022-02-04,29656.25
2022-02-05,28006.87879
2022-02-06,20422.27273
2022-02-07,30603.33333
2022-02-08,25603.33333
2022-02-09,25555.58824
2022-02-10,26380.92857
2022-02-11,33116.66667
2022-02-12,24722.88235
2022-02-13,27443.63636
2022-02-14,35519.64286
2022-02-15,23228.61111
2022-02-16,21329.16667
2022-02-17,31843.33333
2022-02-18,32146
2022-02-19,32386.85714
2022-02-20,25555
2022-02-21,27414.16667
2022-02-22,25233.07692
2022-02-23,24535.41667
2022-02-24,28471
2022-02-25,27567.5
2022-02-26,27736.19048
2022-02-27,29883.33333
2022-02-28,18250
2022-03-01,39666.66667
2022-03-02,25639.28571
2022-03-03,24046.78571
2022-03-04,25533.33333
2022-03-05,33670
2022-03-06,26478.125
2022-03-07,28500
2022-03-08,19080
2022-03-09,30755
2022-03-10,32619
2022-03-11,24930
2022-03-12,28818.51852
2022-03-13,25356.25
2022-03-14,27135.58824
2022-03-15,30365.78947
2022-03-16,28653.125
2022-03-17,28752.77778
2022-03-18,22605.11111
2022-03-19,25715.96154
2022-03-20,19933.33333
2022-03-21,29786.36364
2022-03-22,34318.88889
2022-03-23,27062.5
2022-03-24,22885.71429
2022-03-25,26520
2022-03-26,26977.2
2022-03-27,38375
2022-03-28,22742.85714
2022-03-29,32857.35294
2022-03-30,29305.55556
2022-03-31,22136.4
2022-04-01,25199.73684
2022-04-02,26721.94444
2022-04-03,28844.44444
2022-04-04,22404.16667
2022-04-05,18500
2022-04-06,26365.38462
2022-04-07,34019.23077
2022-04-08,25640
2022-04-09,32515.4375
2022-04-10,11000
2022-04-11,33812.75
2022-04-12,31677.77778
2022-04-13,32830
2022-04-14,24088.55556
2022-04-15,28166.36364
2022-04-16,28070
2022-04-17,21043.33333
2022-04-18,24706.25
2022-04-19,29435.45455
2022-04-20,25835
2022-04-21,22416.66667
2022-04-22,20847.1875
2022-04-23,24027.25
2022-04-24,25550
2022-04-25,22126.92308
2022-04-26,32317.75
