CNTRCT_DE,RENT_GTN
2022-01-01,35800
2022-01-03,27557.59091
2022-01-04,31084.52381
2022-01-05,28990.34043
2022-01-06,26461.76471
2022-01-07,30903.59375
2022-01-08,31349.43678
2022-01-09,30025
2022-01-10,31740.725
2022-01-11,27365.91176
2022-01-12,31055.68293
2022-01-13,27476.42105
2022-01-14,32206.33333
2022-01-15,32333.9759
2022-01-16,20575
2022-01-17,35801.89189
2022-01-18,31282.17647
2022-01-19,32521.47368
2022-01-20,29653.38889
2022-01-21,29815.375
2022-01-22,29589.7549
2022-01-23,35841.66667
2022-01-24,29364.51613
2022-01-25,25238.19444
2022-01-26,31714.28571
2022-01-27,30126.97368
2022-01-28,34080
2022-01-29,28896.875
2022-01-30,21182
2022-01-31,21892.5
2022-02-01,43100
2022-02-02,26412.5
2022-02-03,27318.42105
2022-02-04,30632.14286
2022-02-05,31410.32468
2022-02-06,15750
2022-02-07,24399.75
2022-02-08,29295.71053
2022-02-09,28084.36538
2022-02-10,29426.74468
2022-02-11,32941.66667
2022-02-12,30868.04444
2022-02-13,27742.85714
2022-02-14,33495.45455
2022-02-15,28632.71739
2022-02-16,29170.35714
2022-02-17,28969.26316
2022-02-18,28190.75
2022-02-19,30649.02439
2022-02-20,37400
2022-02-21,30221.21739
2022-02-22,29458.75
2022-02-23,27556.44
2022-02-24,35878.09302
2022-02-25,28849.74419
2022-02-26,29898.45588
2022-02-27,32265
2022-02-28,30219.97297
2022-03-01,29198.27586
2022-03-02,31812.6087
2022-03-03,26500.17391
2022-03-04,34481.81818
2022-03-05,30099.10345
2022-03-06,33000
2022-03-07,32145
2022-03-08,26529.41176
2022-03-09,28498.4375
2022-03-10,31554.54545
2022-03-11,23528.06452
2022-03-12,27358.06579
2022-03-13,42475
2022-03-14,28053.16129
2022-03-15,24558.55882
2022-03-16,28574.77143
2022-03-17,24353.26923
2022-03-18,29415.58537
2022-03-19,27884.65517
2022-03-20,23518.18182
2022-03-21,30051.78571
2022-03-22,30579.59459
2022-03-23,27467.5
2022-03-24,28463.82353
2022-03-25,24678.78049
2022-03-26,28858.24468
2022-03-27,27290
2022-03-28,34752.94118
2022-03-29,29587.14286
2022-03-30,36333.14815
2022-03-31,34447.32143
2022-04-01,29469.72222
2022-04-02,32140.46667
2022-04-03,51440
2022-04-04,23672.68182
2022-04-05,29361.36364
2022-04-06,22116.52174
2022-04-07,33641.75
2022-04-08,25888.70968
2022-04-09,29054.43038
2022-04-10,25110
2022-04-11,28570
2022-04-12,27331.14706
2022-04-13,38360.90909
2022-04-14,30526.78571
2022-04-15,34045.16129
2022-04-16,27927.875
2022-04-17,21983.33333
2022-04-18,26585.93103
2022-04-19,33141.66667
2022-04-20,28340.9375
2022-04-21,29576.5625
2022-04-22,28466.66667
2022-04-23,31849.12162
2022-04-24,28707.14286
2022-04-25,29109.48276
2022-04-26,28169.25926
2022-04-27,25369.09091
2022-04-28,27955.76923
2022-04-29,30245
2022-04-30,35059.60317
2022-05-01,29807.14286
2022-05-02,25853.62963
2022-05-03,31219.55882
2022-05-04,28633.26923
2022-05-05,28927.12903
2022-05-06,26695.51724
2022-05-07,31592.64706
2022-05-08,41000
2022-05-09,28393.92308
2022-05-10,27871.55263
2022-05-11,31945
2022-05-12,31534.7561
2022-05-13,35866.37931
2022-05-14,29959.45588
2022-05-15,22723
2022-05-16,22403.54545
2022-05-17,26236.8125
2022-05-18,31254.25
2022-05-19,25967.34783
2022-05-20,28971.03125
2022-05-21,26909.40816
2022-05-22,26159.6
2022-05-23,22955.6
2022-05-24,29053.36
2022-05-25,23643.61111
2022-05-26,29692.92308
2022-05-27,33163.63889
2022-05-28,28448.63014
2022-05-29,31350
2022-05-30,27940.71429
2022-05-31,30390
2022-06-01,32523.33333
2022-06-02,28228.25714
2022-06-03,30552.94118
2022-06-04,34562
2022-06-05,17000
2022-06-06,24727.27273
2022-06-07,27883.51852
2022-06-08,31317.06897
2022-06-09,35992.96296
2022-06-10,30338.93023
2022-06-11,32037.01299
2022-06-12,16065
2022-06-13,30185.29412
2022-06-14,26296.71429
2022-06-15,29088.46154
2022-06-16,27546.32353
2022-06-17,31102
2022-06-18,35862.19512
2022-06-19,27366.66667
2022-06-20,28940.91429
2022-06-21,26461.46341
2022-06-22,30466.66667
2022-06-23,31243.63415
2022-06-24,28248.52941
2022-06-25,29976.66667
2022-06-26,17983.33333
2022-06-27,29762.96296
2022-06-28,33213.7037
2022-06-29,34066
2022-06-30,27685
2022-07-01,27725.8
2022-07-02,29629.80392
2022-07-03,30600
2022-07-04,31784.96
2022-07-05,34600.47619
2022-07-06,29161.77143
2022-07-07,22892.5625
2022-07-08,28546.53333
2022-07-09,31809.75806
2022-07-10,24688.5
2022-07-11,29589.75758
2022-07-12,30207.46154
2022-07-13,24167.3
2022-07-14,30026.78571
2022-07-15,36552
2022-07-16,32275.29412
2022-07-17,30600
2022-07-18,32468.51852
2022-07-19,32589.28571
2022-07-20,30188.48148
2022-07-21,29353
2022-07-22,25597.24138
2022-07-23,30142.95775
2022-07-24,25530
2022-07-25,29896.2963
2022-07-26,28272.4
2022-07-27,26650.9375
