CNTRCT_DE,RENT_GTN
2022-01-01,51066.66667
2022-01-03,28144.47368
2022-01-04,27745
2022-01-05,27669.23077
2022-01-06,28572.72727
2022-01-07,30105
2022-01-08,21387.5
2022-01-09,19000
2022-01-10,32750.95238
2022-01-11,30178.57143
2022-01-12,29827.77778
2022-01-13,33710
2022-01-14,29004.16667
2022-01-15,28326.91176
2022-01-16,23000
2022-01-17,22161
2022-01-18,25410.71429
2022-01-19,35283.33333
2022-01-20,27636.36364
2022-01-21,24271.66667
2022-01-22,24525
2022-01-23,18950
2022-01-24,31614.375
2022-01-25,26792.85714
2022-01-26,34777.77778
2022-01-27,27923.33333
2022-01-28,29735
2022-01-29,29750
2022-01-30,18150
2022-01-31,14700
2022-02-01,32550
2022-02-03,33725
2022-02-04,27178.57143
2022-02-05,33038.39286
2022-02-06,22366.66667
2022-02-07,28700.9375
2022-02-08,26715
2022-02-09,26325.38462
2022-02-10,32686.11111
2022-02-11,26465
2022-02-12,26862.5
2022-02-13,14170
2022-02-14,27124.66667
2022-02-15,36240.47619
2022-02-16,27846.42857
2022-02-17,30500
2022-02-18,30932.91667
2022-02-19,27411.66667
2022-02-20,31112.5
2022-02-21,23400
2022-02-22,30137.5
2022-02-23,30919.64286
2022-02-24,27588.23529
2022-02-25,30442.64706
2022-02-26,25233.33333
2022-02-27,39937.5
2022-02-28,31355
2022-03-01,29090.90909
2022-03-02,27986.92308
2022-03-03,31276.92308
2022-03-04,27587.5
2022-03-05,29541.03448
2022-03-06,33133.33333
2022-03-07,21247.5
2022-03-08,23720
2022-03-09,27254.16667
2022-03-10,24492.14286
2022-03-11,28736
2022-03-12,29600
2022-03-13,3000
2022-03-14,33143.75
2022-03-15,31850
2022-03-16,28565.38462
2022-03-17,33796.15385
2022-03-18,24329.16667
2022-03-19,29518.66667
2022-03-20,40000
2022-03-21,29166.66667
2022-03-22,29760
2022-03-23,35163.63636
2022-03-24,27549.23077
2022-03-25,27178.125
2022-03-26,24270
2022-03-27,26333.33333
2022-03-28,31546.42857
2022-03-29,24626.5625
2022-03-30,29660
2022-03-31,33025
2022-04-01,27361.53846
2022-04-02,32443
2022-04-03,26900
2022-04-04,32486.36364
2022-04-05,24592.85714
2022-04-06,26059.58333
2022-04-07,28825.4
2022-04-08,28174.375
2022-04-09,23617.44444
2022-04-10,26633.33333
2022-04-11,27992.30769
2022-04-12,26310
2022-04-13,25933.07692
2022-04-14,28430
2022-04-15,26517.14286
2022-04-16,32144.64286
2022-04-17,17218.75
2022-04-18,27617.69231
2022-04-19,32346.66667
2022-04-20,30567.85714
2022-04-21,26462.69231
2022-04-22,24525
2022-04-23,22264.28571
2022-04-24,30775
2022-04-25,40032.14286
2022-04-26,26715.625
2022-04-27,31383.33333
2022-04-28,28472
2022-04-29,29413.33333
2022-04-30,26945.76923
2022-05-02,28515.38462
2022-05-03,25770
2022-05-04,34530
2022-05-05,27980.76923
2022-05-06,27127.27273
2022-05-07,30925
2022-05-08,32333.33333
2022-05-09,29160
2022-05-10,26390.58824
2022-05-11,31897.5
2022-05-12,31258.33333
2022-05-13,33480.29412
2022-05-14,21087.54545
2022-05-15,33820
2022-05-16,27322.22222
2022-05-17,25455
2022-05-18,32292.38462
2022-05-19,29737.5
2022-05-20,28301.5
2022-05-21,27864.47368
2022-05-22,33780
2022-05-23,29498.91667
2022-05-24,29714.28571
2022-05-25,27016.66667
2022-05-26,37581.81818
2022-05-27,30475
2022-05-28,33110
2022-05-29,19850
2022-05-30,30630.26316
2022-05-31,31640
2022-06-01,27962.5
2022-06-02,30311.11111
2022-06-03,28076.92308
2022-06-04,34492.1875
2022-06-05,28108.33333
2022-06-06,34000
2022-06-07,28144.64286
2022-06-08,28427.77778
2022-06-09,26876.66667
2022-06-10,35313.63636
2022-06-11,30085.71429
2022-06-12,21783.33333
2022-06-13,26859.64286
2022-06-14,30916.66667
2022-06-15,36648.75
2022-06-16,36644.64286
2022-06-17,23411.11111
2022-06-18,25706
2022-06-19,15500
2022-06-20,27263.33333
2022-06-21,27250
2022-06-22,33890
2022-06-23,26931.88889
2022-06-24,27953.84615
2022-06-25,25431.25
2022-06-26,32250
2022-06-27,25537.5
2022-06-28,32050
2022-06-29,27230
2022-06-30,24914.61538
2022-07-01,30666.66667
2022-07-02,25908.82353
2022-07-03,32500
2022-07-04,30155.38462
2022-07-05,31355.55556
2022-07-06,28920.83333
2022-07-07,30437.5
2022-07-08,28397.72727
2022-07-09,31716.66667
2022-07-10,26250
2022-07-11,31495.83333
2022-07-12,27175
2022-07-13,36237.5
2022-07-14,29061.42857
2022-07-15,25229.16667
2022-07-16,29889.41176
2022-07-17,38333.33333
2022-07-18,23623.68421
2022-07-19,35391.07143
2022-07-20,27177.13333
2022-07-21,23772.55556
2022-07-22,26258
2022-07-23,24340.90909
2022-07-24,32750
2022-07-25,27092
2022-07-26,29520
2022-07-27,31013.88889
2022-07-28,38365
2022-07-29,30926.66667
2022-07-30,28395
2022-08-01,25955
2022-08-02,20300
2022-08-03,14200
2022-08-04,29555
2022-08-05,31839.28571
2022-08-06,24452.27273
2022-08-07,25650
2022-08-08,27233.5
2022-08-09,31606.66667
2022-08-10,27402.35294
2022-08-11,28797.5
2022-08-12,26383.33333
2022-08-13,23882.14286
2022-08-14,28000
2022-08-15,32978.75
2022-08-16,27301.31579
2022-08-17,28108.33333
2022-08-18,25197.77778
2022-08-19,28285
2022-08-20,33641.5
2022-08-21,29050
2022-08-22,25150
2022-08-23,28392.85714
2022-08-24,27640
2022-08-25,29605
2022-08-26,29431.47059
2022-08-27,27523.07692
2022-08-28,26200
2022-08-29,31667.85714
2022-08-30,30196.15385
2022-08-31,29135.38462
2022-09-01,22878.57143
2022-09-02,27337.36842
2022-09-03,30800
2022-09-04,24200
2022-09-05,24781.81818
2022-09-06,34365.38462
2022-09-07,34033.33333
2022-09-08,22737.5
2022-09-09,27433
2022-09-10,26200
2022-09-12,33500
