CNTRCT_DE,RENT_GTN
2022-01-01,57500
2022-01-02,63000
2022-01-03,29993.33333
2022-01-04,28814.58333
2022-01-05,39548.63636
2022-01-06,29083.33333
2022-01-07,42315.625
2022-01-08,41118.86364
2022-01-09,35813.63636
2022-01-10,37677.5
2022-01-11,37765.47619
2022-01-12,28166.81818
2022-01-13,29679.92593
2022-01-14,33670.45455
2022-01-15,44573.33333
2022-01-16,47478.57143
2022-01-17,36207.85714
2022-01-18,35142.61111
2022-01-19,35995.45455
2022-01-20,41724.41176
2022-01-21,32448.82353
2022-01-22,43498.90244
2022-01-23,49000
2022-01-24,38070.83333
2022-01-25,32725.38462
2022-01-26,34446.42857
2022-01-27,29227.27273
2022-01-28,42692.10526
2022-01-29,39857.70833
2022-01-30,41000
2022-01-31,30933.33333
2022-02-01,34000
2022-02-02,27500
2022-02-03,36351.47059
2022-02-04,39221.42857
2022-02-05,37785.18519
2022-02-06,50825
2022-02-07,31225
2022-02-08,36461.11111
2022-02-09,44685.86957
2022-02-10,39149.75
2022-02-11,47991.24
2022-02-12,39444.45946
2022-02-13,39150
2022-02-14,37547.05882
2022-02-15,48572.61905
2022-02-16,37258.82353
2022-02-17,41221.42857
2022-02-18,45170.8125
2022-02-19,45119.60784
2022-02-20,33740
2022-02-21,35013.33333
2022-02-22,32357.14286
2022-02-23,46208.34615
2022-02-24,35915.5
2022-02-25,46894.53333
2022-02-26,40253.33333
2022-02-27,37050
2022-02-28,31970.83333
2022-03-01,41173.4
2022-03-02,47525
2022-03-03,40289.58333
2022-03-04,36269.23077
2022-03-05,46740.44118
2022-03-06,25937.5
2022-03-07,38374.5
2022-03-08,38078.57143
2022-03-09,43526.47059
2022-03-10,44244
2022-03-11,48069.23077
2022-03-12,45817.74194
2022-03-13,24833.33333
2022-03-14,36409.11111
2022-03-15,29263
2022-03-16,39297.9375
2022-03-17,41772.72727
2022-03-18,45046.15385
2022-03-19,43586.53846
2022-03-20,46500
2022-03-21,32627.5
2022-03-22,39688.5
2022-03-23,37484.375
2022-03-24,35728.84615
2022-03-25,37700
2022-03-26,42851.85185
2022-03-27,44442.85714
2022-03-28,37648.82353
2022-03-29,46301.17647
2022-03-30,35533.33333
2022-03-31,42823.33333
2022-04-01,39980
2022-04-02,37656.35294
2022-04-03,43550
2022-04-04,57919.64286
2022-04-05,46927.77778
2022-04-06,41305.55556
2022-04-07,37707.08333
2022-04-08,45353.84615
2022-04-09,40454.83871
2022-04-10,27500
2022-04-11,36166.66667
2022-04-12,39083.33333
2022-04-13,41129.6875
2022-04-14,28145.4
2022-04-15,40355.17647
2022-04-16,43377.08333
2022-04-17,39500
2022-04-18,40091.81818
2022-04-19,31991.66667
2022-04-20,43762.5
2022-04-21,40888.23529
2022-04-22,44858.33333
2022-04-23,36977.5
2022-04-24,42683.33333
2022-04-25,35536.66667
2022-04-26,31620.90909
2022-04-27,42438.46154
2022-04-28,49983.33333
2022-04-29,37010
2022-04-30,47538.84615
2022-05-01,27300
2022-05-02,43805.88235
2022-05-03,41890
2022-05-04,48270
2022-05-05,39791.94444
2022-05-06,53985.71429
2022-05-07,46266.5
2022-05-08,45571.42857
2022-05-09,39441.17647
2022-05-10,41330.76923
2022-05-11,44276.84211
2022-05-12,41001.66667
2022-05-13,47810.45833
2022-05-14,38478
2022-05-15,36852.5
2022-05-16,38827.57143
2022-05-17,40746.66667
2022-05-18,47004.13333
2022-05-19,32942.09091
2022-05-20,33264.70588
2022-05-21,43826.12903
2022-05-22,44933.33333
2022-05-23,31131.41176
2022-05-24,51817.93333
2022-05-25,46859.13333
2022-05-26,48020.45455
2022-05-27,40154.625
2022-05-28,47626.72414
2022-05-29,47330
2022-05-30,40747.05882
2022-05-31,42172.72727
2022-06-01,32985.71429
2022-06-02,38093.75
2022-06-03,32546.15789
2022-06-04,41897.91667
2022-06-05,34580
2022-06-06,48837.72727
2022-06-07,33220.83333
2022-06-08,42770.52632
2022-06-09,37143.75
2022-06-10,44306.25
2022-06-11,46700.29412
2022-06-12,58820
2022-06-13,41568.75
2022-06-14,40870
2022-06-15,44290.47619
2022-06-16,44653.16667
2022-06-17,38280.76923
2022-06-18,47378.54839
2022-06-20,47870
2022-06-21,44961.94444
2022-06-22,40140
2022-06-23,47740
2022-06-24,37494.16667
2022-06-25,47214.28571
2022-06-26,44100
2022-06-27,42928.33333
2022-06-28,12500
2022-06-29,43882.5
2022-06-30,40700
2022-07-01,38766.07143
2022-07-02,53599.58333
2022-07-03,44600
2022-07-04,46086.66667
2022-07-05,49404.54545
2022-07-06,28518.18182
2022-07-07,32672.13333
2022-07-08,33990
2022-07-09,46851.15789
2022-07-10,43783.33333
2022-07-11,44280.35714
2022-07-12,38243.72222
2022-07-13,36641.15385
2022-07-14,40217.36842
2022-07-15,37910.96774
2022-07-16,39578.96774
2022-07-17,67000
2022-07-18,49935.22727
2022-07-19,38912.93333
2022-07-20,38114.48148
2022-07-21,32831.38095
2022-07-22,48042.7
2022-07-23,39697.91667
2022-07-24,29183.33333
2022-07-25,44353.84615
2022-07-26,28567.30769
2022-07-27,33216.15385
2022-07-28,37462.5
2022-07-29,41649.28571
2022-07-30,40161.86364
2022-07-31,42406.25
2022-08-01,41133.75
2022-08-02,37850
2022-08-03,30215.23077
2022-08-04,42930
2022-08-05,36095.45455
2022-08-06,43037.03704
2022-08-07,41208.75
2022-08-08,32493.70588
2022-08-09,43408.82353
2022-08-10,39367.85714
2022-08-11,37166.75
2022-08-12,32866.66667
