CNTRCT_DE,RENT_GTN
2022-01-01,91880
2022-01-02,45000
2022-01-03,63256.25
2022-01-04,55600
2022-01-05,49507.14286
2022-01-06,54112.5
2022-01-07,61380.83333
2022-01-08,60529.16667
2022-01-09,52000
2022-01-10,63370
2022-01-11,32561
2022-01-12,53951.8
2022-01-13,50725.28571
2022-01-14,61872.45
2022-01-15,55554.87805
2022-01-16,62320
2022-01-17,59975
2022-01-18,62820.83333
2022-01-19,64120.9375
2022-01-20,62880.95238
2022-01-21,45615.05263
2022-01-22,59096.15385
2022-01-23,97750
2022-01-24,54225
2022-01-25,58933.27273
2022-01-26,63662.09091
2022-01-27,55430.6
2022-01-28,55180.26667
2022-01-29,59603.5
2022-01-30,51000
2022-01-31,50000
2022-02-01,64000
2022-02-02,53491.66667
2022-02-03,52455
2022-02-04,50575.52941
2022-02-05,58175
2022-02-06,51900
2022-02-07,53410.71429
2022-02-08,58414
2022-02-09,57049.52174
2022-02-10,60440.90909
2022-02-11,58942.85714
2022-02-12,60267.44898
2022-02-13,47008.33333
2022-02-14,57600
2022-02-15,52728.84615
2022-02-16,53828.36842
2022-02-17,51661.11111
2022-02-18,64139.5
2022-02-19,59021.27907
2022-02-20,63171.42857
2022-02-21,55866.66667
2022-02-22,55317.11765
2022-02-23,52906.66667
2022-02-24,47044.64286
2022-02-25,64443.33333
2022-02-26,55188.19444
2022-02-27,54250
2022-02-28,63907.89474
2022-03-01,53677
2022-03-02,70555
2022-03-03,61661.53846
2022-03-04,65304.54545
2022-03-05,53874.24242
2022-03-06,57000
2022-03-07,64291.66667
2022-03-08,59325
2022-03-09,67020
2022-03-10,50500
2022-03-11,45644.8
2022-03-12,57560.71429
2022-03-13,50000
2022-03-14,44814.57143
2022-03-15,51626.61765
2022-03-16,59187.94118
2022-03-17,49487.5
2022-03-18,52861.69231
2022-03-19,56554.86111
2022-03-20,50888.88889
2022-03-21,57900.68421
2022-03-22,57464.58824
2022-03-23,43491.38462
2022-03-24,65757.14286
2022-03-25,61062.5
2022-03-26,53361.42857
2022-03-27,53025
2022-03-28,43359.53846
2022-03-29,44007.14286
2022-03-30,54443.75
2022-03-31,67054.16667
2022-04-01,63490.90909
2022-04-02,56491.07143
2022-04-03,70366.66667
2022-04-04,57527.77778
2022-04-05,54900
2022-04-06,63915
2022-04-07,68335
2022-04-08,56918.61111
2022-04-09,55179.88372
2022-04-10,61783.33333
2022-04-11,60941.17647
2022-04-12,63527.27273
2022-04-13,55108.82353
2022-04-14,62262.5
2022-04-15,64061.53846
2022-04-16,58586.04651
2022-04-17,76650
2022-04-18,60029.16667
2022-04-19,47787.5
2022-04-20,61057.69231
2022-04-21,63275
2022-04-22,58600
2022-04-23,58117.5
2022-04-24,69650
2022-04-25,64422.22222
2022-04-26,62015.625
2022-04-27,58607.14286
2022-04-28,51855.55556
2022-04-29,55565.38462
2022-04-30,51819.03226
2022-05-01,57200
2022-05-02,58060.52632
2022-05-03,59665
2022-05-04,61652.77778
2022-05-05,58125.8
2022-05-06,58005.88235
2022-05-07,63284.375
2022-05-09,48740.19048
2022-05-10,52251.5
2022-05-11,55266.66667
2022-05-12,60691.66667
2022-05-13,59840.90909
2022-05-14,60475
2022-05-15,55000
2022-05-16,51421.05263
2022-05-17,55006.66667
2022-05-18,57991.72727
2022-05-19,53201.2
2022-05-20,69643.18182
2022-05-21,55606.08108
2022-05-22,46041.66667
2022-05-23,59711.78571
2022-05-24,55441.66667
2022-05-25,71686.36364
2022-05-26,51490.90909
2022-05-27,58692.30769
2022-05-28,58325
2022-05-29,53733.33333
2022-05-30,68763.15789
2022-05-31,57604.54545
2022-06-01,64931.25
2022-06-02,57605.55556
2022-06-03,62250
2022-06-04,64378.18182
2022-06-05,71333.33333
2022-06-06,52122.91667
2022-06-07,75004.54545
2022-06-08,43955.55556
2022-06-09,60850
2022-06-10,49315.27778
2022-06-11,64527.77778
2022-06-12,71020
2022-06-13,62187.5
2022-06-14,78043.3
2022-06-15,63143.75
2022-06-16,61987.5
2022-06-17,56978.72727
2022-06-18,56286.53571
2022-06-19,59500
2022-06-20,59217.25
2022-06-21,59654.6
2022-06-22,64383.33333
2022-06-23,53552.77778
2022-06-24,65840.90909
2022-06-25,63045.96774
2022-06-26,53550
2022-06-27,53693.18182
2022-06-28,55501.23077
2022-06-29,54443.33333
2022-06-30,68288.23529
2022-07-01,63012.5
2022-07-02,60084.16667
2022-07-03,81333.33333
2022-07-04,65475
2022-07-05,67318.75
2022-07-06,60571.42857
2022-07-07,61847.05882
2022-07-08,59462.5
2022-07-09,64555.625
2022-07-10,61200
2022-07-11,48604.88889
2022-07-12,51750.1
2022-07-13,38992.66667
2022-07-14,76199.73333
2022-07-15,60543.33333
2022-07-16,60242.5
2022-07-17,57714.28571
2022-07-18,52926.92308
2022-07-19,47485.66667
2022-07-20,61640
2022-07-21,62175
2022-07-22,55361.5
2022-07-23,59384.375
2022-07-24,69728.57143
2022-07-25,58981.25
2022-07-26,44043.75
2022-07-27,61600
2022-07-28,65922.05882
2022-07-29,56793.75
2022-07-30,55248.33333
2022-07-31,46125
2022-08-01,52580
2022-08-02,52656.25
2022-08-03,41356.25
2022-08-04,62928.875
2022-08-05,61103.33333
2022-08-06,55562.5
2022-08-07,63950
2022-08-08,64842.14286
2022-08-09,52296.5
2022-08-10,55996.25
2022-08-11,79945.45455
2022-08-12,65150
2022-08-13,57555.95238
2022-08-14,62560
2022-08-15,71509
2022-08-16,49422.22222
2022-08-17,49842.29412
2022-08-18,50020
2022-08-19,56580.625
2022-08-20,55954.83871
2022-08-21,66050
2022-08-22,52782.22222
2022-08-23,68077.35714
2022-08-24,62933.77778
2022-08-25,59341.66667
2022-08-26,61925.88889
2022-08-27,55640
2022-08-28,55666.66667
2022-08-29,59302.41667
2022-08-30,66807.14286
2022-08-31,56964.28571
