CNTRCT_DE,RENT_GTN
2022-01-01,43866.66667
2022-01-02,44716.66667
2022-01-03,47677.27273
2022-01-04,36058.69565
2022-01-05,43181.81818
2022-01-06,53716.09091
2022-01-07,50281.93548
2022-01-08,50503.83333
2022-01-09,71500
2022-01-10,51869.2069
2022-01-11,52520.26316
2022-01-12,46294.84375
2022-01-13,40314.09091
2022-01-14,64609.09091
2022-01-15,45728.90909
2022-01-16,35750
2022-01-17,28978.86957
2022-01-18,50918.5
2022-01-19,41708.06452
2022-01-20,58331.66667
2022-01-21,53503.57143
2022-01-22,47565.5
2022-01-23,46700
2022-01-24,34671.42857
2022-01-25,51128.96552
2022-01-26,48728.86207
2022-01-27,45426.13636
2022-01-28,55488.33333
2022-01-29,46785.33333
2022-01-30,53011.75
2022-01-31,39038
2022-02-01,31666.66667
2022-02-02,35700
2022-02-03,33206.66667
2022-02-04,59975
2022-02-05,55662.7037
2022-02-06,43109.09091
2022-02-07,48753.93939
2022-02-08,56737.30769
2022-02-09,53478.4375
2022-02-10,50221.14286
2022-02-11,49299.09091
2022-02-12,49355.34091
2022-02-13,51418.75
2022-02-14,45536.66667
2022-02-15,56903.2
2022-02-16,45258.02857
2022-02-17,56977.08333
2022-02-18,48715.23529
2022-02-19,55914.25926
2022-02-20,54883.33333
2022-02-21,47431.53846
2022-02-22,34175.71429
2022-02-23,57832.70588
2022-02-24,55190.92308
2022-02-25,60520
2022-02-26,51010.30645
2022-02-27,42300
2022-02-28,52547.72727
2022-03-01,42664.28571
2022-03-02,52441.30435
2022-03-03,53169.23077
2022-03-04,39701.66667
2022-03-05,57275
2022-03-06,62436.25
2022-03-07,57357.95455
2022-03-08,37352.28571
2022-03-09,45902.28571
2022-03-10,59892.90476
2022-03-11,52181.75
2022-03-12,44161.13462
2022-03-13,24797.4
2022-03-14,42377.8
2022-03-15,38539.22727
2022-03-16,55905.55556
2022-03-17,41201.59091
2022-03-18,45095.16667
2022-03-19,42852.32353
2022-03-20,52213.09091
2022-03-21,42415.52381
2022-03-22,33921.56522
2022-03-23,46538.15385
2022-03-24,41712.95
2022-03-25,54990.47619
2022-03-26,45656.85185
2022-03-27,77175
2022-03-28,42072.4
2022-03-29,50645.8
2022-03-30,50872.22222
2022-03-31,59791.6
2022-04-01,44127.88462
2022-04-02,48842.85714
2022-04-03,60400
2022-04-04,40033.3
2022-04-05,42936.36364
2022-04-06,34040.625
2022-04-07,55750
2022-04-08,47663.19048
2022-04-09,46496.43478
2022-04-10,49128.57143
2022-04-11,48889.66667
2022-04-12,39392
2022-04-13,42286.6
2022-04-14,49266.66667
2022-04-15,39751.53846
2022-04-16,42883.09524
2022-04-17,62250
2022-04-18,49443.77778
2022-04-19,49048
2022-04-20,60085
2022-04-21,45766.47059
2022-04-22,46074.91304
2022-04-23,44780.45455
2022-04-24,51175
2022-04-25,49088.82353
2022-04-26,52526.06667
2022-04-27,68388.23529
2022-04-28,62714.28571
2022-04-29,52036.47059
2022-04-30,48139.16667
2022-05-01,41814.54545
2022-05-02,38974.42308
2022-05-03,46419.47368
2022-05-04,49087.5
2022-05-05,38338.33333
2022-05-06,59302.63158
2022-05-07,66680.08696
2022-05-08,43200
2022-05-09,51709.13043
2022-05-10,48053.88889
2022-05-11,42435.29412
2022-05-12,48377.83333
2022-05-13,39019
2022-05-14,42460.52632
2022-05-15,37044.6
2022-05-16,45094.13333
2022-05-17,47024.17391
2022-05-18,53204.81818
2022-05-19,52897.82609
2022-05-20,53008.45714
2022-05-21,43513.61111
2022-05-22,47083.33333
2022-05-23,48819.85185
2022-05-24,47085.4
2022-05-25,40540.43478
2022-05-26,50690
2022-05-27,49822.22222
2022-05-28,56430.28571
2022-05-29,44625
2022-05-30,43368.42105
2022-05-31,53637.5
2022-06-01,42905.9375
2022-06-02,37709.47059
2022-06-03,44046.15385
2022-06-04,54827.77778
2022-06-05,58000
2022-06-06,56430
2022-06-07,35205.47368
2022-06-08,52666.875
2022-06-09,39235.33333
2022-06-10,49294.44444
2022-06-11,53278.72549
2022-06-12,72500
2022-06-13,47844.44444
2022-06-14,54965.10345
2022-06-15,47891.1
2022-06-16,56612.78261
2022-06-17,51150.20833
2022-06-18,56334.21053
2022-06-19,57750
2022-06-20,56426.25926
2022-06-21,43030.76923
2022-06-22,56416.34783
2022-06-23,48904.375
2022-06-24,51281.45833
2022-06-25,53302.65625
2022-06-26,51972.22222
2022-06-27,65468.75
2022-06-28,49112.7619
2022-06-29,53270.83333
2022-06-30,52402.17391
2022-07-01,59169.31818
2022-07-02,48455.2
2022-07-03,15000
2022-07-04,52994.11765
2022-07-05,37588.46154
2022-07-06,41688.88889
2022-07-07,41012.21429
2022-07-08,44070.83333
2022-07-09,48216.88889
2022-07-10,31250
2022-07-11,48971.11111
2022-07-12,54313.33333
2022-07-13,50118.75
2022-07-14,36512.30769
2022-07-15,45411.95652
2022-07-16,57190.97222
2022-07-17,31500
2022-07-18,34026.66667
2022-07-19,48782.46667
2022-07-20,53923
2022-07-21,51135.71429
2022-07-22,49135.71429
2022-07-23,52849.92857
2022-07-24,23015.25
2022-07-25,42757.69231
2022-07-26,49030.21429
2022-07-27,50172.72727
2022-07-28,56273.52941
2022-07-29,61776.47059
2022-07-30,67772.20588
2022-07-31,68425
2022-08-01,45122.30769
2022-08-02,41496.36364
2022-08-03,43982.5
2022-08-04,46064.375
2022-08-05,47184.22222
2022-08-06,56501.66667
2022-08-07,52500
2022-08-08,45534.89474
2022-08-09,43498.66667
2022-08-10,39935.84
2022-08-11,52495.66667
2022-08-12,41426.28571
2022-08-13,52798.73529
2022-08-14,55000
2022-08-15,57764.28571
2022-08-16,48993.6
2022-08-17,52423.42105
2022-08-18,51185.18519
2022-08-19,44710.625
2022-08-20,62873.11429
2022-08-21,49731.16667
2022-08-22,43277
2022-08-23,36979.48148
2022-08-24,51574.5
2022-08-25,49504.08
2022-08-26,57415.8
