CNTRCT_DE,RENT_GTN
2022-01-01,30350
2022-01-02,49380
2022-01-03,35050
2022-01-04,53710
2022-01-05,46215.76923
2022-01-06,50697.875
2022-01-07,52518.14815
2022-01-08,51366.66667
2022-01-09,32450
2022-01-10,50277.86667
2022-01-11,39534.44444
2022-01-12,43187.5
2022-01-13,39827
2022-01-14,52901.73913
2022-01-15,48828.57143
2022-01-16,33731.25
2022-01-17,46408.71429
2022-01-18,48565.27778
2022-01-19,47852.63158
2022-01-20,49709.29412
2022-01-21,44252.14286
2022-01-22,50495.88889
2022-01-23,63750
2022-01-24,41850
2022-01-25,41779.44444
2022-01-26,42008.33333
2022-01-27,41700
2022-01-28,50672.94118
2022-01-29,52523.88889
2022-01-31,42000
2022-02-01,40000
2022-02-02,30450
2022-02-03,50707.69231
2022-02-04,43668.46154
2022-02-05,51183.87097
2022-02-06,41120
2022-02-07,40162.5
2022-02-08,47116.875
2022-02-09,52023.52941
2022-02-10,48446.42857
2022-02-11,42715.83333
2022-02-12,50218.85714
2022-02-13,47800
2022-02-14,46890
2022-02-15,38805.375
2022-02-16,45968.05556
2022-02-17,41439.45
2022-02-18,54026.31579
2022-02-19,53276.13636
2022-02-20,54227.77778
2022-02-21,52306.06667
2022-02-22,46410.11111
2022-02-23,43657.15385
2022-02-24,54330
2022-02-25,47000
2022-02-26,51355.17857
2022-02-27,49815
2022-02-28,38492.15385
2022-03-01,47795.3125
2022-03-02,44130
2022-03-03,46918.75
2022-03-04,45940.625
2022-03-05,43366.44737
2022-03-06,53000
2022-03-07,47375
2022-03-08,50533.33333
2022-03-09,49461.45833
2022-03-10,52010
2022-03-11,61780
2022-03-12,52580.35714
2022-03-13,49260
2022-03-14,35438.88889
2022-03-15,39265.6875
2022-03-16,43473.11111
2022-03-17,47090
2022-03-18,48509.69231
2022-03-19,53178.24324
2022-03-20,46337.5
2022-03-21,33138.63636
2022-03-22,31375.41667
2022-03-23,38988.88889
2022-03-24,44267.14286
2022-03-25,40700
2022-03-26,52066.66667
2022-03-27,43375
2022-03-28,51964.28571
2022-03-29,37416.66667
2022-03-30,43240.47619
2022-03-31,46525
2022-04-01,37002.77778
2022-04-02,51190.71429
2022-04-04,44383.33333
2022-04-05,60521.42857
2022-04-06,53622.22222
2022-04-07,51920
2022-04-08,42777.05882
2022-04-09,46494
2022-04-10,44000
2022-04-11,47473.33333
2022-04-12,35259.875
2022-04-13,34671
2022-04-14,50350.6
2022-04-15,42792.77778
2022-04-16,48300
2022-04-17,48725
2022-04-18,45062.5
2022-04-19,37307.14286
2022-04-20,63418.46154
2022-04-21,53281.25
2022-04-22,37230.5
2022-04-23,51391.15385
2022-04-24,37000
2022-04-25,42146.875
2022-04-26,46670.83333
2022-04-27,47222.91667
2022-04-28,38508.33333
2022-04-29,47100.45455
2022-04-30,52992.5
2022-05-01,40000
2022-05-02,38917
2022-05-03,42176.92308
2022-05-04,56200
2022-05-05,38595.45455
2022-05-06,49400.61538
2022-05-07,52576.47059
2022-05-08,44600
2022-05-09,38205
2022-05-10,47129.23077
2022-05-11,39585.71429
2022-05-12,58783.33333
2022-05-13,50375
2022-05-14,54691
2022-05-15,43325
2022-05-16,35928
2022-05-17,21998.75
2022-05-18,56298.8
2022-05-19,39295.64286
2022-05-20,31332.6
2022-05-21,49592.85714
2022-05-22,27666.66667
2022-05-23,45294.75
2022-05-24,53414.83333
2022-05-25,42638.92857
2022-05-26,46237.5
2022-05-27,35611.66667
2022-05-28,51430.35714
2022-05-29,43981.25
2022-05-30,55638.23529
2022-05-31,53200
2022-06-01,48715.625
2022-06-02,62018.75
2022-06-03,46018.18182
2022-06-04,56170.625
2022-06-05,38300
2022-06-06,55625
2022-06-07,57931.25
2022-06-08,56933.33333
2022-06-09,46625
2022-06-10,57709.09091
2022-06-11,50566
2022-06-12,53416.66667
2022-06-13,41621.72727
2022-06-14,45618.75
2022-06-15,43094.375
2022-06-16,48489.28571
2022-06-17,47618.75
2022-06-18,50332.88889
2022-06-19,53097.5
2022-06-20,49076.5
2022-06-21,48266.66667
2022-06-22,31182.71429
2022-06-23,46230
2022-06-24,47625
2022-06-25,36233.33333
2022-06-26,45500
2022-06-27,58477.77778
2022-06-28,38381.81818
2022-06-29,48600
2022-06-30,49253.84615
2022-07-01,49794.16667
2022-07-02,60062.5
2022-07-03,43370
2022-07-04,57712.5
2022-07-05,50065
2022-07-06,50915
2022-07-07,38621.42857
2022-07-08,43826.66667
2022-07-09,60539.77273
2022-07-10,43080
2022-07-11,45524
2022-07-12,38323.6
2022-07-13,53391
2022-07-14,35132.11111
2022-07-15,41844.65
2022-07-16,53110.86957
2022-07-18,38834.92308
2022-07-19,36022.53333
2022-07-20,27208.15385
2022-07-21,28955.89474
2022-07-22,34702.92308
2022-07-23,54564.61538
2022-07-24,57750
2022-07-25,36265.0625
2022-07-26,60675.75
2022-07-27,36138
2022-07-28,54726.28571
2022-07-29,65622.22222
2022-07-30,57760.9375
2022-07-31,56100
2022-08-01,51966.66667
2022-08-02,45480
2022-08-03,46172.3
2022-08-04,55958.57143
2022-08-05,43672.22222
2022-08-06,59176.66667
2022-08-07,59750
2022-08-08,56067.5
2022-08-09,52820.83333
2022-08-10,54078.84615
