CNTRCT_DE,RENT_GTN
2022-01-01,110000
2022-01-02,48950
2022-01-03,63416.66667
2022-01-04,59266.66667
2022-01-05,76382.14286
2022-01-06,83204.54545
2022-01-07,58955.43478
2022-01-08,59990.67164
2022-01-09,66642.85714
2022-01-10,67703.61111
2022-01-11,51644.92857
2022-01-12,56017.3913
2022-01-13,79910.71429
2022-01-14,54962.5
2022-01-15,68808.01887
2022-01-16,67500
2022-01-17,61971.55556
2022-01-18,57750
2022-01-19,55542.61905
2022-01-20,65422.36842
2022-01-21,62539.08696
2022-01-22,51341.95652
2022-01-23,70000
2022-01-24,68584.375
2022-01-25,59663.33333
2022-01-26,54227.28571
2022-01-27,61992.85714
2022-01-28,46254.3125
2022-01-29,60917.3913
2022-01-30,49350
2022-01-31,44250
2022-02-01,69300
2022-02-02,42000
2022-02-03,62419.44444
2022-02-04,59777.77778
2022-02-05,64316.91489
2022-02-06,46162.5
2022-02-07,53058.56522
2022-02-08,60409.08333
2022-02-09,47690.47619
2022-02-10,58716
2022-02-11,57827.69231
2022-02-12,55251.1194
2022-02-13,63141.33333
2022-02-14,46181.06667
2022-02-15,56829.93333
2022-02-16,69478.09524
2022-02-17,77066.2
2022-02-18,63357.14286
2022-02-19,65768.98462
2022-02-20,64233.33333
2022-02-21,60898.3871
2022-02-22,60083.33333
2022-02-23,75981.66667
2022-02-24,58147.05882
2022-02-25,65843.10345
2022-02-26,54935.71429
2022-02-27,50675
2022-02-28,50362.77778
2022-03-01,50393.33333
2022-03-02,70550
2022-03-03,52438.63636
2022-03-04,58930.52
2022-03-05,77866.40625
2022-03-06,78500
2022-03-07,58631.78571
2022-03-08,51085
2022-03-09,67173.07692
2022-03-10,58354.88889
2022-03-11,51389.06667
2022-03-12,62948.57143
2022-03-13,64107.14286
2022-03-14,51454.16667
2022-03-15,51415.25
2022-03-16,55906.63636
2022-03-17,60138.46154
2022-03-18,53977.27273
2022-03-19,60372.26415
2022-03-20,68333.33333
2022-03-21,62877.5
2022-03-22,65711.53846
2022-03-23,66000
2022-03-24,58416.66667
2022-03-25,62173.52941
2022-03-26,64307.5
2022-03-27,50116.66667
2022-03-28,65310.41667
2022-03-29,68610.9375
2022-03-30,62091.31579
2022-03-31,57426.66667
2022-04-01,51860
2022-04-02,61251.57895
2022-04-03,52200
2022-04-04,75822.72727
2022-04-05,68503.125
2022-04-06,73305.55556
2022-04-07,56815
2022-04-08,75770
2022-04-09,64153.57143
2022-04-10,62000
2022-04-11,58413.16667
2022-04-12,55102.64286
2022-04-13,47112.5
2022-04-14,62328.92308
2022-04-15,63309.52381
2022-04-16,67727.02703
2022-04-17,60190
2022-04-18,53471.05882
2022-04-19,53812.33333
2022-04-20,65647.91667
2022-04-21,52170
2022-04-22,63678.26087
2022-04-23,56693.47826
2022-04-25,45870.08333
2022-04-26,64090.91667
2022-04-27,67696.05263
2022-04-28,60218.33333
2022-04-29,74284.78261
2022-04-30,58208.04348
2022-05-01,75566.66667
2022-05-02,59485.3
2022-05-03,63417.85714
2022-05-04,65082.35294
2022-05-05,59888.88889
2022-05-06,56569.44444
2022-05-07,49161.56522
2022-05-08,66500
2022-05-09,67064.28571
2022-05-10,63033.33333
2022-05-11,58318.18182
2022-05-12,53416.78947
2022-05-13,61535.25
2022-05-14,63166.22222
2022-05-15,55725
2022-05-16,63078
2022-05-17,59803.1
2022-05-18,55908.68182
2022-05-19,86900
2022-05-20,59900
2022-05-21,60183.57143
2022-05-22,48800
2022-05-23,60995.11111
2022-05-24,59205.35714
2022-05-25,58530
2022-05-26,54112.5
2022-05-27,59194.73684
2022-05-28,64519.73684
2022-05-29,64700
2022-05-30,79333.33333
2022-05-31,73929.47368
2022-06-01,48926.92308
2022-06-02,61468.42105
2022-06-03,53220.83333
2022-06-04,60211.25
2022-06-05,35000
2022-06-06,62111.11111
2022-06-07,42405
2022-06-08,78294.9375
2022-06-09,67043.42105
2022-06-10,67730
2022-06-11,56490.39474
2022-06-12,58325
2022-06-13,65011.76471
2022-06-14,62170.83333
2022-06-15,54735
2022-06-16,69395.83333
2022-06-17,61957.8125
2022-06-18,72438.69697
2022-06-19,16500
2022-06-20,63522.94118
2022-06-21,56777.80952
2022-06-22,55929.375
2022-06-23,48846.15385
2022-06-24,61488.625
2022-06-25,61357.5
2022-06-26,50675
2022-06-27,57018.18182
2022-06-28,67586.36364
2022-06-29,58959.57895
2022-06-30,54203.125
2022-07-01,65910.86957
2022-07-02,51156.66667
2022-07-03,43145.8
2022-07-04,58192.85714
2022-07-05,48691.3913
2022-07-06,56379.66667
2022-07-07,65080.26316
2022-07-08,57375.89474
2022-07-09,66416.18421
2022-07-10,72500
2022-07-11,58768.6875
2022-07-12,56925.27273
2022-07-13,51052.58824
2022-07-14,55346.83333
2022-07-15,69491.84
2022-07-16,54833.04348
2022-07-17,56500
2022-07-18,58038.46154
2022-07-19,60205.33333
2022-07-20,53309.375
2022-07-21,59565.625
2022-07-22,48952.33333
2022-07-23,65837.17949
2022-07-24,64775
2022-07-25,87639.47368
2022-07-26,67510
2022-07-27,63250
2022-07-28,42165
2022-07-29,55725
2022-07-30,58056.27586
2022-07-31,57750
2022-08-01,58285.71429
2022-08-02,55258.11765
2022-08-03,54428.57143
2022-08-04,63746.15385
2022-08-05,77419.25
2022-08-06,65557.94118
2022-08-07,45150
2022-08-08,51434.71429
2022-08-09,72272.72727
2022-08-10,72011.76471
2022-08-11,70783.33333
2022-08-12,59518.75
2022-08-13,63846.25
2022-08-14,48100
2022-08-15,71083.33333
2022-08-16,59143.83333
2022-08-17,71304.05263
2022-08-18,55863.71429
2022-08-19,59772.27273
2022-08-20,69915.60606
2022-08-21,41883.33333
2022-08-22,68414.81818
2022-08-23,60083.33333
2022-08-24,52491.66667
2022-08-25,77770
2022-08-26,57110.29412
2022-08-27,60678.5
2022-08-28,49825
2022-08-29,67186.47059
2022-08-30,63042.35294
2022-08-31,62362.77778
2022-09-01,70187.5
2022-09-02,68370
2022-09-03,62341.85185
2022-09-04,46150
2022-09-05,47122.88235
2022-09-06,62787.5
2022-09-07,61796.875
2022-09-08,53855
2022-09-10,38000
2022-09-11,33075
2022-09-13,41150
2022-09-14,49712.69231
2022-09-15,50238.75
2022-09-16,61747.36842
2022-09-17,61572.15217
2022-09-18,69740
2022-09-19,46953.84615
2022-09-20,49935
2022-09-21,64127.66667
2022-09-22,66793.05556
2022-09-23,56955.86957
2022-09-24,63793.66667
2022-09-25,74970
2022-09-26,69510.55556
2022-09-27,56429.16667
2022-09-28,57832.35294
2022-09-29,57836.88235
2022-09-30,85537
2022-10-01,61177.5
2022-10-02,51800
2022-10-03,59000
2022-10-04,66823.80952
2022-10-05,52287.5
2022-10-06,53244.1875
2022-10-07,63586.25
2022-10-08,63098.51429
2022-10-09,60650
2022-10-10,67016.66667
2022-10-11,57483.33333
2022-10-12,59953.4375
2022-10-13,46925
2022-10-14,54163
2022-10-15,71708.51852
2022-10-17,53298.11111
2022-10-18,45656.81818
2022-10-19,59363.23529
2022-10-20,78422.05882
2022-10-21,55162.66667
2022-10-22,56586.68182
2022-10-23,68100
2022-10-24,61385.81818
2022-10-25,75500
2022-10-26,63425
2022-10-27,66019.44444
2022-10-28,70694.3
2022-10-29,65360.41667
2022-10-30,44447.5
2022-10-31,48720.36364
2022-11-01,57346.15385
2022-11-02,57476.66667
2022-11-03,51820.83333
2022-11-04,58571.66667
2022-11-05,55543.5
2022-11-06,51750
2022-11-07,66432.14286
2022-11-08,62115
2022-11-09,62247.14286
2022-11-10,64225.72727
2022-11-11,66500
2022-11-12,64433.92857
2022-11-13,65000
2022-11-14,57592.81818
2022-11-15,55100
2022-11-16,66000
2022-11-17,69440
2022-11-18,59620.83333
2022-11-19,55450.73684
2022-11-20,54600
2022-11-21,40000
2022-11-22,41022.5
2022-11-23,52771.875
2022-11-24,61166.66667
2022-11-25,65288.88889
2022-11-26,55233.33333
2022-11-27,62200
2022-11-28,42720.46154
2022-11-29,56318.57143
2022-11-30,52824.54545
