CNTRCT_DE,RENT_GTN
2022-01-01,53000
2022-01-03,37337.5
2022-01-04,44988.125
2022-01-05,46497.61905
2022-01-06,47315.38462
2022-01-07,47968.69565
2022-01-08,50495.71429
2022-01-09,48750
2022-01-10,46265.21739
2022-01-11,48107.61538
2022-01-12,50770
2022-01-13,51101.17647
2022-01-14,47719.04762
2022-01-15,49596.42857
2022-01-16,39800
2022-01-17,48245.83333
2022-01-18,50040
2022-01-19,42289.28571
2022-01-20,40635
2022-01-21,50210.57692
2022-01-22,46996.78571
2022-01-23,61030
2022-01-24,39155.88235
2022-01-25,40698.21429
2022-01-26,51337.76471
2022-01-27,46145
2022-01-28,49106.66667
2022-01-29,48702.26316
2022-01-30,22250
2022-01-31,30000
2022-02-01,31750
2022-02-02,42000
2022-02-03,54266.66667
2022-02-04,42866.66667
2022-02-05,50508.28125
2022-02-06,32100
2022-02-07,45540.90909
2022-02-08,54560.19231
2022-02-09,45482.6087
2022-02-10,43551.31579
2022-02-11,48959.31818
2022-02-12,47157.15686
2022-02-13,35566.66667
2022-02-14,47763.15789
2022-02-15,45684.21053
2022-02-16,40328.72727
2022-02-17,48411.36364
2022-02-18,44671.15385
2022-02-19,49498.52941
2022-02-20,46733.33333
2022-02-21,51484.6875
2022-02-22,45376.92308
2022-02-23,52781.94444
2022-02-24,37228.57143
2022-02-25,46102.77778
2022-02-26,49113.48387
2022-02-27,39666.66667
2022-02-28,48996.15385
2022-03-01,49223.68421
2022-03-02,52709.09091
2022-03-03,41527.27273
2022-03-04,52161.76471
2022-03-05,49353.45946
2022-03-06,45525
2022-03-07,50900
2022-03-08,45113.63636
2022-03-09,46622.35294
2022-03-10,49760.29412
2022-03-11,55216.07143
2022-03-12,47006.04651
2022-03-13,47625
2022-03-14,52050
2022-03-15,58112.72727
2022-03-16,31563.23404
2022-03-17,39702.55556
2022-03-18,40223.08696
2022-03-19,46399.20455
2022-03-20,41400
2022-03-21,39114.39286
2022-03-22,38469.70588
2022-03-23,44498
2022-03-24,43721.53333
2022-03-25,53041.11111
2022-03-26,48658.57143
2022-03-27,65600
2022-03-28,54322.5
2022-03-29,45797
2022-03-30,56269.44444
2022-03-31,45179.41176
2022-04-01,49790
2022-04-02,43965.21739
2022-04-03,51900
2022-04-04,50481.81818
2022-04-05,53569.44444
2022-04-06,51091.71429
2022-04-07,40839.05882
2022-04-08,47660
2022-04-09,54181.94444
2022-04-10,45950
2022-04-11,58000
2022-04-12,48032
2022-04-13,42434.90476
2022-04-14,37404.30769
2022-04-15,44508.82353
2022-04-16,46833.78378
2022-04-17,42383.33333
2022-04-18,46686.66667
2022-04-19,38793.84615
2022-04-20,43441.66667
2022-04-21,50624.72727
2022-04-22,64056.25
2022-04-23,48413.21429
2022-04-24,50812.5
2022-04-25,50253.84615
2022-04-26,48535
2022-04-27,49730.76923
2022-04-28,50176.47059
2022-04-29,50124.66667
2022-04-30,54948.75
2022-05-01,42800
2022-05-02,37098
2022-05-03,62100
2022-05-04,50606.25
2022-05-05,46700
2022-05-06,46360
2022-05-07,52064.70588
2022-05-08,60000
2022-05-09,48821.25
2022-05-10,45748
2022-05-11,42616.66667
2022-05-12,47340
2022-05-13,48543.125
2022-05-14,48908.8
2022-05-15,49500
2022-05-16,35990.65714
2022-05-17,40695.41176
2022-05-18,40452.70588
2022-05-19,46198.1
2022-05-20,46828.92857
2022-05-21,48357.14286
2022-05-22,55500
2022-05-23,47955.68182
2022-05-24,47781.25
2022-05-25,53383.33333
2022-05-26,42356.36364
2022-05-27,47254.54545
2022-05-28,48691.66667
2022-05-29,52080
2022-05-30,57750
2022-05-31,53044.44444
2022-06-01,51934.21053
2022-06-02,54172.71429
2022-06-03,47016.66667
2022-06-04,57414.33333
2022-06-05,60000
2022-06-06,50942.85714
2022-06-07,37455.42857
2022-06-08,49839.6875
2022-06-09,49983.33333
2022-06-10,45889.28571
2022-06-11,46074.16667
2022-06-12,56171.42857
2022-06-13,54959.0625
2022-06-14,51791.64706
2022-06-15,43946.42857
2022-06-16,50933.33333
2022-06-17,50318.66667
2022-06-18,53473.21429
2022-06-19,44000
2022-06-20,25156
2022-06-21,36448.94118
2022-06-22,53041.66667
2022-06-23,39900.66667
2022-06-24,63856.25
2022-06-25,46090.05882
2022-06-26,33100
2022-06-27,43669.33333
2022-06-28,42877.66667
2022-06-29,53591
2022-06-30,53513.63636
2022-07-01,58160
2022-07-02,53969.64286
2022-07-03,34500
2022-07-04,57496
2022-07-05,54200.58824
2022-07-06,43907.5
2022-07-07,49851.45455
2022-07-08,40059.70588
2022-07-09,45391.17647
2022-07-10,42850
2022-07-11,37810.28
2022-07-12,30742.05263
2022-07-13,52178.66667
2022-07-14,43378.63636
2022-07-15,42490.88235
2022-07-16,48862
2022-07-17,51000
2022-07-18,30162.46154
2022-07-19,38434
2022-07-20,40153.07692
2022-07-21,59002.66667
2022-07-22,42555.78261
2022-07-23,46863.4
2022-07-25,45737.77778
2022-07-26,44181.5
2022-07-27,51387.5
2022-07-28,44000
2022-07-29,46873.07692
2022-07-30,46510.09524
2022-07-31,52338.88889
2022-08-01,43711.11111
2022-08-02,26983.33333
2022-08-03,58000
2022-08-04,40660
2022-08-05,48503.33333
2022-08-06,47829.05556
2022-08-07,27333.33333
2022-08-08,45490
2022-08-09,47138.46154
2022-08-10,46351.53846
2022-08-11,46542.85714
2022-08-12,50833.33333
2022-08-13,42821.64
2022-08-14,50000
2022-08-15,47312.5
2022-08-16,40051.1875
2022-08-17,49412.5
2022-08-18,55300
2022-08-19,43802.33333
2022-08-20,43740.58824
2022-08-21,56000
2022-08-22,52278.33333
2022-08-23,45203.05556
2022-08-24,39012.72727
2022-08-25,48609.375
2022-08-26,50552.94118
2022-08-27,48852.17391
2022-08-28,45000
2022-08-29,42809.45455
2022-08-30,54180
2022-08-31,54288.46154
2022-09-01,45760
2022-09-02,48088.88889
2022-09-03,46097.05882
2022-09-04,42350
2022-09-05,38742.85714
2022-09-06,42231.42857
2022-09-07,41508.33333
2022-09-08,48725
2022-09-09,50363.33333
2022-09-11,46000
2022-09-12,42500
2022-09-13,43351.81818
2022-09-14,45359.82353
2022-09-15,36336.54545
2022-09-16,44601.33333
2022-09-17,46515.52632
2022-09-18,42000
2022-09-19,50119
2022-09-20,42294.11765
2022-09-21,49890.52632
2022-09-22,39995.88235
2022-09-23,43700
2022-09-24,48213.28125
2022-09-25,36320
2022-09-26,48237
2022-09-27,49980
2022-09-28,50268.46154
2022-09-29,55429.16667
2022-09-30,42899.66667
2022-10-01,44730.68182
2022-10-02,41333.33333
