CNTRCT_DE,RENT_GTN
2022-01-01,49750
2022-01-02,67666.66667
2022-01-03,57160.06452
2022-01-04,56257.75
2022-01-05,58796.47059
2022-01-06,51496.45714
2022-01-07,59635.02222
2022-01-08,64417.58095
2022-01-09,46324
2022-01-10,64545.37255
2022-01-11,56041.54545
2022-01-12,56937.34286
2022-01-13,52131.30769
2022-01-14,69019.73684
2022-01-15,55210.70543
2022-01-16,60637
2022-01-17,57494.72917
2022-01-18,51111.27273
2022-01-19,59791.91837
2022-01-20,53039.43396
2022-01-21,64466.73913
2022-01-22,61651.08594
2022-01-23,58664.73684
2022-01-24,52757.42105
2022-01-25,55098.15556
2022-01-26,56487.94595
2022-01-27,59241.09434
2022-01-28,61893.71111
2022-01-29,55804.4898
2022-01-30,56140
2022-01-31,41500
2022-02-01,19950
2022-02-03,70762.45714
2022-02-04,63509.85714
2022-02-05,54921.31
2022-02-06,51087.5
2022-02-07,58647.90476
2022-02-08,50343.33333
2022-02-09,60202.18182
2022-02-10,54156.66667
2022-02-11,51129.08333
2022-02-12,61684.58015
2022-02-13,85125
2022-02-14,38768.76744
2022-02-15,48804.01754
2022-02-16,39593.88636
2022-02-17,44364.44737
2022-02-18,53797.67164
2022-02-19,56515
2022-02-20,54458.84615
2022-02-21,60362.13158
2022-02-22,54848.37288
2022-02-23,49617.74468
2022-02-24,55043.64444
2022-02-25,57608.61538
2022-02-26,59105.05376
2022-02-27,72214.28571
2022-02-28,59812.5098
2022-03-01,52025.21739
2022-03-02,53908.97222
2022-03-03,48880.05882
2022-03-04,54645.73171
2022-03-05,56356.9898
2022-03-06,36301
2022-03-07,48245.17857
2022-03-08,40690.5
2022-03-09,54639.21951
2022-03-10,54316.5
2022-03-11,59276.68
2022-03-12,59469.84043
2022-03-13,66047.5
2022-03-14,44702.10256
2022-03-15,55018.5
2022-03-16,53434.28302
2022-03-17,55328.97436
2022-03-18,58945.05556
2022-03-19,57084.2963
2022-03-20,63440.83333
2022-03-21,43571.61702
2022-03-22,44365.62162
2022-03-23,62899
2022-03-24,52800.78947
2022-03-25,55331.39024
2022-03-26,60784.85714
2022-03-27,67873.33333
2022-03-28,54434.27027
2022-03-29,55851.925
2022-03-30,50207.05556
2022-03-31,59206.44
2022-04-01,59860.89744
2022-04-02,53430.525
2022-04-03,25515
2022-04-04,51190.14286
2022-04-05,59377
2022-04-06,63761.10345
2022-04-07,59868.51852
2022-04-08,63639.25581
2022-04-09,58580.13158
2022-04-10,73885
2022-04-11,48301.51429
2022-04-12,61571.12903
2022-04-13,64619.30556
2022-04-14,58322.39286
2022-04-15,46801.48148
2022-04-16,58595.14493
2022-04-17,78212.5
2022-04-18,59464.56522
2022-04-19,66494.28571
2022-04-20,50119.91176
2022-04-21,68582.93333
2022-04-22,49837.75758
2022-04-23,63549.87805
2022-04-24,62025
2022-04-25,62173.70833
2022-04-26,50572.43478
2022-04-27,65484.03125
2022-04-28,62486.15
2022-04-29,68909.43182
2022-04-30,61504.3875
2022-05-01,44650
2022-05-02,63346.12903
2022-05-03,70207.31707
2022-05-04,56038.81481
2022-05-05,64883.33333
2022-05-06,56876.80645
2022-05-07,57652.89744
2022-05-08,85000
2022-05-09,59451.52778
2022-05-10,47680.16279
2022-05-11,61907.22222
2022-05-12,61900.39024
2022-05-13,66960.2381
2022-05-14,60095.06522
2022-05-15,56920
2022-05-16,51792.66667
2022-05-17,61908.94286
2022-05-18,64752.45455
2022-05-19,61055.17241
2022-05-20,62851.65
2022-05-21,55756.14865
2022-05-22,45343.6
2022-05-23,75640.875
2022-05-24,53396.35484
2022-05-25,60386.78378
2022-05-26,59560.31034
2022-05-27,67922.04348
2022-05-28,61467.89474
2022-05-29,65550
2022-05-30,69186.24
2022-05-31,65847.6129
2022-06-01,61188.29268
2022-06-02,73167.2
2022-06-03,64478
2022-06-04,62334.33962
2022-06-05,45266.66667
2022-06-06,51971.42857
2022-06-07,73098.68421
2022-06-08,52439.85714
2022-06-09,51731.38462
2022-06-10,59460.30303
2022-06-11,63116.98718
2022-06-12,60137.5
2022-06-13,55035
2022-06-14,69361.68182
2022-06-15,51465.03846
2022-06-16,76243.97059
2022-06-17,58561.47059
2022-06-18,59825.92308
2022-06-19,54920.11111
2022-06-20,60023.66667
2022-06-21,57696.18519
2022-06-22,57003.83333
2022-06-23,73223.02778
2022-06-24,60714.07692
2022-06-25,66744.18421
2022-06-26,60015.5
2022-06-27,51824.68293
2022-06-28,52507.12121
2022-06-29,62579.16
2022-06-30,67140.85714
2022-07-01,62169.63636
2022-07-02,64400.73611
2022-07-03,63016.66667
2022-07-04,65438.92857
2022-07-05,63116.02941
2022-07-06,56769.07143
2022-07-07,63031.10256
2022-07-08,62094.03226
2022-07-09,67872.67123
2022-07-10,49975
2022-07-11,56894.46429
2022-07-12,57114.86111
2022-07-13,67317.76316
2022-07-14,64125.54545
2022-07-15,64110.09804
2022-07-16,58360.25
2022-07-17,91633.33333
2022-07-18,52372.10714
2022-07-19,56198.40741
2022-07-20,59351.42222
2022-07-21,66552.22222
2022-07-22,63417.64706
2022-07-23,68650.97826
2022-07-24,47880
2022-07-25,56125.57143
2022-07-26,77462.8
2022-07-27,59580.36585
2022-07-28,70702.41379
2022-07-29,55902.38095
2022-07-30,67423.87097
2022-07-31,55881.66667
2022-08-01,42183.44444
2022-08-02,43153.125
2022-08-03,57977
2022-08-04,49503.75
2022-08-05,69672.80769
2022-08-06,60853.50794
2022-08-07,45950
2022-08-08,70841.66667
2022-08-09,54586.18182
2022-08-10,63671.53488
2022-08-11,55529.35484
2022-08-12,57503.86486
2022-08-13,65241.69811
2022-08-14,48880
2022-08-15,81742.30769
2022-08-16,74092.18182
2022-08-17,71359.06452
2022-08-18,54473.03226
2022-08-19,69253.61538
2022-08-20,57257.63768
2022-08-21,67000
2022-08-22,46822.31429
2022-08-23,66279.09091
2022-08-24,57769.54545
2022-08-25,60654.73171
2022-08-26,69792.92683
2022-08-27,67511.74242
2022-08-28,52678.875
2022-08-29,57733.54167
2022-08-30,54759.13793
2022-08-31,72783.75
2022-09-01,74083.46154
2022-09-02,60091.93548
2022-09-03,65987
2022-09-04,77166.66667
2022-09-05,72311.3913
2022-09-06,50697.04545
2022-09-07,64759.48276
2022-09-08,62375
2022-09-09,22500
2022-09-10,36300.5
2022-09-12,41620.66667
2022-09-13,56523.77273
2022-09-14,70666.11905
2022-09-15,68178.88889
2022-09-16,56957
2022-09-17,59130.58228
2022-09-18,47580
2022-09-19,60170.08333
2022-09-20,64055.51613
2022-09-21,74668.6
2022-09-22,71475.52
2022-09-23,64286.47059
2022-09-24,64634.97333
2022-09-25,46509.28571
2022-09-26,65668.2
2022-09-27,56328.85714
2022-09-28,52871.13793
2022-09-29,54845.83871
2022-09-30,65255.51282
2022-10-01,66834.9661
2022-10-02,25293.33333
2022-10-03,69197.90323
2022-10-04,66253.82051
2022-10-05,69160.34483
2022-10-06,72187.9375
2022-10-07,57687.11111
2022-10-08,67370.1
2022-10-10,60476.89655
2022-10-11,44568.92308
2022-10-12,59131.05882
2022-10-13,51734.3125
2022-10-14,56027.75
2022-10-15,59451.9
2022-10-16,63061.66667
2022-10-17,50621.28125
2022-10-18,64762.24138
2022-10-19,53177.13636
2022-10-20,52254.33333
2022-10-21,60625.69444
2022-10-22,63930.80952
2022-10-23,44783.33333
2022-10-24,67958.40909
2022-10-25,55745.41667
2022-10-26,60920.21053
2022-10-27,65019.13043
2022-10-28,66433.33333
2022-10-29,64171.60714
2022-10-30,52083.33333
2022-10-31,54838.8
2022-11-01,54917.30435
2022-11-02,51030.58824
2022-11-03,76805.28571
2022-11-04,62386.12903
2022-11-05,61699.07407
2022-11-06,48927.27273
2022-11-07,50623.20513
2022-11-08,48993.55556
2022-11-09,58628.58824
2022-11-10,58428.36364
2022-11-11,66292.66667
2022-11-12,62172.44643
2022-11-13,42275
2022-11-14,55226.66667
2022-11-15,52327.86667
2022-11-16,58456.15385
2022-11-17,55309.18519
2022-11-18,62058.66667
2022-11-19,56496.01923
2022-11-20,53902.5
2022-11-21,48315.93939
2022-11-22,48813.21951
2022-11-23,47442.5
2022-11-24,61137.29412
2022-11-25,68405.12821
2022-11-26,72599.29167
2022-11-27,55233.33333
2022-11-28,58640.625
2022-11-29,61063.44828
2022-11-30,70125.1875
2022-12-01,57115.59259
2022-12-02,67793
2022-12-03,62937.21687
2022-12-04,95000
2022-12-05,51279.5
2022-12-06,59131.30556
2022-12-07,58170.10256
2022-12-08,60730
2022-12-09,80134.84848
2022-12-10,65253.11864
2022-12-11,67250
2022-12-12,58533.53333
2022-12-13,65712.59259
2022-12-14,69942.30769
2022-12-15,64619.11765
2022-12-16,71210.57143
2022-12-17,57714.10145
2022-12-18,68485.71429
2022-12-19,63374.44737
2022-12-20,60069
2022-12-21,62116.64
2022-12-22,65436.51613
2022-12-23,66961.90476
2022-12-24,66575.53191
2022-12-25,73750
2022-12-26,57625.96875
2022-12-27,72566.66667
2022-12-28,67075.64286
