CNTRCT_DE,RENT_GTN
2022-01-01,40931
2022-01-03,49876.92308
2022-01-04,46382.69231
2022-01-05,61180.55556
2022-01-06,68127.08333
2022-01-07,51333.5
2022-01-08,55876.15385
2022-01-09,42000
2022-01-10,58335.43478
2022-01-11,52906.25
2022-01-12,65019.04762
2022-01-13,62318.42857
2022-01-14,56280.95238
2022-01-15,56806.48649
2022-01-16,57483.33333
2022-01-17,58225.92593
2022-01-18,50951.13793
2022-01-19,49573.21053
2022-01-20,54783
2022-01-21,58086.70833
2022-01-22,50770.5
2022-01-23,32800
2022-01-24,70657.29412
2022-01-25,58942.40741
2022-01-26,61886.95652
2022-01-27,50929.13636
2022-01-28,59390
2022-01-29,56331.25
2022-01-30,47250
2022-02-01,75000
2022-02-02,25125
2022-02-03,56752.94118
2022-02-04,51697.91667
2022-02-05,55038.95349
2022-02-06,53266.66667
2022-02-07,46637.72727
2022-02-08,42842.22222
2022-02-09,63051.72727
2022-02-10,52883.62069
2022-02-11,46791.66667
2022-02-12,45936.70213
2022-02-13,63560
2022-02-14,43934
2022-02-15,57382.63158
2022-02-16,45902.21429
2022-02-17,49695.41379
2022-02-18,53277.3125
2022-02-19,53162.5
2022-02-20,45258.33333
2022-02-21,62796.42857
2022-02-22,54526
2022-02-23,48559.6
2022-02-24,54133.68421
2022-02-25,60980.83333
2022-02-26,44779.28571
2022-02-27,35183.33333
2022-02-28,55210
2022-03-01,61735.71429
2022-03-02,52978.57143
2022-03-03,49035.18519
2022-03-04,44360.71429
2022-03-05,46865.96667
2022-03-06,52500
2022-03-07,63792.85714
2022-03-08,44870
2022-03-09,54226.31579
2022-03-10,36622.33333
2022-03-11,47911.71875
2022-03-12,45871.05263
2022-03-13,33000
2022-03-14,55061.73684
2022-03-15,34829.68966
2022-03-16,39800.78571
2022-03-17,46893.63636
2022-03-18,52153.84615
2022-03-19,55974.79592
2022-03-20,47268.22222
2022-03-21,45106.33333
2022-03-22,42062
2022-03-23,42722.38095
2022-03-24,38042.875
2022-03-25,46484.25926
2022-03-26,43691.21622
2022-03-27,36750
2022-03-28,51415.32
2022-03-29,65905.55556
2022-03-30,60426.08696
2022-03-31,57002.08333
2022-04-01,52690
2022-04-02,49159.68085
2022-04-03,36500
2022-04-04,51375
2022-04-05,51431.66667
2022-04-06,60256.25
2022-04-07,49251.72414
2022-04-08,49678.51852
2022-04-09,44527.38095
2022-04-10,40500
2022-04-11,44804.45
2022-04-12,66457.14286
2022-04-13,48276.42857
2022-04-14,42734.15789
2022-04-15,52766.63158
2022-04-16,50759.82759
2022-04-17,34000
2022-04-18,40203.125
2022-04-19,36490.92
2022-04-20,48722.76
2022-04-21,42718.90323
2022-04-22,46443.42424
2022-04-23,41880.65714
2022-04-24,45545.83333
2022-04-25,50664.25
2022-04-26,44658.2
2022-04-27,43171.47826
2022-04-28,43867.34783
2022-04-29,48320
2022-04-30,53768.96552
2022-05-01,50035.71429
2022-05-02,58005.25
2022-05-03,54233.69565
2022-05-04,54614.65
2022-05-05,44118.18182
2022-05-06,47152.17949
2022-05-07,51468.57143
2022-05-08,42143.75
2022-05-09,43367.25
