CNTRCT_DE,RENT_GTN
2022-01-01,43600
2022-01-02,57600
2022-01-03,40555.55556
2022-01-04,43534.11765
2022-01-05,39867.34375
2022-01-06,36994.23077
2022-01-07,49873.25
2022-01-08,41862.03947
2022-01-09,38825
2022-01-10,35816
2022-01-11,36191.2069
2022-01-12,41680.38
2022-01-13,50648.46154
2022-01-14,43773.40426
2022-01-15,38844.54545
2022-01-16,41359.42857
2022-01-17,41707.31707
2022-01-18,33938.63889
2022-01-19,37296.08696
2022-01-20,30104.55172
2022-01-21,38224.47368
2022-01-22,42007.57143
2022-01-23,59650
2022-01-24,41735.48387
2022-01-25,42049.51613
2022-01-26,36439.43243
2022-01-27,37401.45161
2022-01-28,35216.60976
2022-01-29,40104.46429
2022-01-30,53000
2022-01-31,49300
2022-02-01,31333.33333
2022-02-02,39700
2022-02-03,37975.86207
2022-02-04,40622.22222
2022-02-05,39022.1875
2022-02-06,44420
2022-02-07,42329.375
2022-02-08,38668.96552
2022-02-09,35849.74359
2022-02-10,46033.33333
2022-02-11,37371.89189
2022-02-12,44468.13333
2022-02-13,35155.55556
2022-02-14,39165.625
2022-02-15,46401.17647
2022-02-16,42874.58333
2022-02-17,42460
2022-02-18,46237.68293
2022-02-19,43243.81818
2022-02-20,33683.36364
2022-02-21,31772.65714
2022-02-22,35950
2022-02-23,40197.375
2022-02-24,33976.66667
2022-02-25,37730.68627
2022-02-26,43871.60274
2022-02-27,43070
2022-02-28,53189.44444
2022-03-01,40361.02941
2022-03-02,46911.2
2022-03-03,46366.12903
2022-03-04,40482.72727
2022-03-05,34871.25
2022-03-06,35704.375
2022-03-07,38398.33333
2022-03-08,35678.05405
2022-03-09,51860.625
2022-03-10,42950
2022-03-11,38671.5
2022-03-12,41987.86792
2022-03-13,48507.14286
2022-03-14,41718.6
2022-03-15,38104.13043
2022-03-16,38172.91667
2022-03-17,40785.72727
2022-03-18,38801.03448
2022-03-19,47852.12766
2022-03-20,43178.57143
2022-03-21,47948.09524
2022-03-22,42157.61905
2022-03-23,45108.62069
2022-03-24,40489.13043
2022-03-25,46644.75
2022-03-26,39540.3
2022-03-27,61861.7
2022-03-28,43317.85185
2022-03-29,38262.96296
2022-03-30,41072.22222
2022-03-31,40676.36364
2022-04-01,38321.42857
2022-04-02,41511.3
2022-04-03,39975
2022-04-04,46000.71429
2022-04-05,46042.30435
2022-04-06,30641.08696
2022-04-07,40467.89474
2022-04-08,49941.48148
2022-04-09,41394.02174
2022-04-10,41257.5
2022-04-11,45771.04167
2022-04-12,48681.63636
2022-04-13,33267.11111
2022-04-14,34187.5
2022-04-15,44712.96296
2022-04-16,40843.23529
2022-04-17,35883.33333
2022-04-18,40182.82609
2022-04-19,55036.34375
2022-04-20,33253.96552
2022-04-21,38508.92857
2022-04-22,38764.1
2022-04-23,45611.42857
2022-04-24,38600
2022-04-25,38346.08696
2022-04-26,44704.16667
2022-04-27,49073.44828
2022-04-28,36215.875
2022-04-29,46542.41379
2022-04-30,40859.38776
2022-05-01,34866.66667
2022-05-02,46615.65217
2022-05-03,49694.44444
2022-05-04,39897.5
2022-05-05,41976
2022-05-06,46667
2022-05-07,45870.18519
2022-05-08,54250
2022-05-09,37292
2022-05-10,38618.21429
2022-05-11,42925
2022-05-12,37525.88235
2022-05-13,40058.7381
2022-05-14,36975.59259
2022-05-15,52766.66667
2022-05-16,38267.87879
2022-05-17,43690.44118
2022-05-18,44293.18182
2022-05-19,38711.92308
2022-05-20,38519.23077
2022-05-21,43970.97561
2022-05-22,31958.125
2022-05-23,37427.27273
2022-05-24,41863.35714
2022-05-25,39464.28571
2022-05-26,40032.59259
2022-05-27,43538.22581
2022-05-28,45369.26087
2022-05-29,43182.5
2022-05-30,55275.17857
2022-05-31,44247.625
2022-06-01,48670.27778
2022-06-02,39714.76667
2022-06-03,39574.46429
2022-06-04,48132.03125
2022-06-05,25625
2022-06-06,36306.67857
2022-06-07,40922.35294
2022-06-08,46119.04762
2022-06-09,51303
2022-06-10,39589.39394
2022-06-11,45056.9697
2022-06-12,44388.88889
2022-06-13,36428.04348
2022-06-14,46175.8
2022-06-15,49366.45833
2022-06-16,45569.04762
2022-06-17,45191.92308
2022-06-18,46415.27778
2022-06-19,38275
2022-06-20,41037.8
2022-06-21,41733
2022-06-22,40606.3125
2022-06-23,41354.52174
2022-06-24,43444
2022-06-25,47060.22414
2022-06-26,43055
2022-06-27,40386.60714
2022-06-28,34296.09375
2022-06-29,47451.04167
2022-06-30,45030.84375
2022-07-01,43886.30303
2022-07-02,43346.21739
2022-07-03,39271.42857
2022-07-04,41610.9
2022-07-05,36503.18182
2022-07-06,46291.66667
2022-07-07,32619.39394
2022-07-08,39920.39474
2022-07-09,42158.125
2022-07-10,45752.5
2022-07-11,48603.16667
2022-07-12,40392.20588
2022-07-13,45878.62069
2022-07-14,33658.10345
2022-07-15,37136.48649
2022-07-16,39156.88889
2022-07-17,34832
2022-07-18,39557.29032
2022-07-19,40491.53846
2022-07-20,44950.59091
2022-07-21,39557.3913
2022-07-22,48692.25
2022-07-23,45360.71429
2022-07-24,42635.71429
2022-07-25,45931.37931
2022-07-26,50352.63158
2022-07-27,42092.85714
2022-07-28,36671
2022-07-29,39365
2022-07-30,37719.60526
2022-07-31,54881.25
2022-08-01,30922.05882
2022-08-02,38853.125
2022-08-03,46981.42857
2022-08-04,40372.85714
2022-08-05,45717.33333
2022-08-06,42034.57447
2022-08-07,35077.27273
2022-08-08,46941.78571
2022-08-09,35279.44444
2022-08-10,33209.02778
2022-08-11,43147.5
2022-08-12,50339.66667
2022-08-13,40042.05882
2022-08-14,33733.33333
2022-08-15,40595
2022-08-16,41998.87097
2022-08-17,39765
2022-08-18,42248.07692
2022-08-19,42752.74419
2022-08-20,42994.50909
2022-08-21,49988.33333
2022-08-22,41212.75862
2022-08-23,48429
2022-08-24,48035.22727
2022-08-25,42352.2
2022-08-26,42828.69565
2022-08-27,40777.68116
2022-08-28,39700
2022-08-29,42645.26667
2022-08-30,46442.04545
2022-08-31,52010.19355
2022-09-01,41344.04762
2022-09-02,46550
2022-09-03,49415.95349
2022-09-04,39435.71429
2022-09-05,44995.66667
2022-09-06,42873.91304
2022-09-07,44592.06897
2022-09-08,39050
2022-09-09,24400
2022-09-10,23350
2022-09-11,33255
2022-09-12,45693.6
2022-09-13,38282.18182
2022-09-14,39274.3871
2022-09-15,36978.71429
2022-09-16,45749.31034
2022-09-17,46013.44186
2022-09-18,36308.33333
2022-09-19,44653.88462
2022-09-20,48599.5
2022-09-21,55038.18182
2022-09-22,40984.26471
2022-09-23,46093.4375
2022-09-24,47386.41818
2022-09-25,55875
2022-09-26,38184.09524
2022-09-27,43157.33333
2022-09-28,45324.68966
2022-09-29,51001.94444
2022-09-30,52255.43478
2022-10-01,43153.97059
2022-10-02,53625
2022-10-03,49823.33333
2022-10-04,46275
2022-10-05,41951.5625
2022-10-06,40169.35714
2022-10-07,45963.95833
2022-10-08,51314.16667
2022-10-09,44375
2022-10-10,36418.96552
2022-10-11,48667.5
2022-10-12,44217.64706
2022-10-13,37728.04348
2022-10-14,35966.78571
2022-10-15,41996.34615
2022-10-16,38990
2022-10-17,42561.36364
2022-10-18,39896.25
2022-10-19,43951.96154
2022-10-20,42411.90476
2022-10-21,49976.25
2022-10-22,42956.47059
2022-10-23,38006.66667
2022-10-24,39641.07143
2022-10-25,41760.27273
2022-10-26,35149.44444
2022-10-27,46386.95652
2022-10-28,49356.66667
2022-10-29,41584.09091
2022-10-30,31666.66667
2022-10-31,42342.10526
2022-11-01,39199.25
2022-11-02,37836.4
2022-11-03,38013.88889
2022-11-04,45230.61538
2022-11-05,40955.45455
2022-11-06,46000
2022-11-07,34984.05263
2022-11-08,45700
2022-11-09,30322.72727
2022-11-10,45647.72727
2022-11-11,39545.11111
2022-11-12,44243.97059
2022-11-13,31655
2022-11-14,39722.30769
