CNTRCT_DE,RENT_GTN
2022-01-01,44940
2022-01-02,77000
2022-01-03,48900
2022-01-04,64983.33333
2022-01-05,56941
2022-01-06,54965
2022-01-07,60300
2022-01-08,58282.14286
2022-01-09,46550
2022-01-10,43815.33333
2022-01-11,58962.30769
2022-01-12,55340.90909
2022-01-13,60703.57143
2022-01-14,45270.45455
2022-01-15,64832.14286
2022-01-16,68925
2022-01-17,66538.88889
2022-01-18,69414.28571
2022-01-19,73438.88889
2022-01-20,43375
2022-01-21,58021.57895
2022-01-22,58063.46154
2022-01-23,58950
2022-01-24,92692.85714
2022-01-25,72024
2022-01-26,55926.66667
2022-01-27,86450
2022-01-28,55007.14286
2022-01-29,63133.33333
2022-01-30,55100
2022-02-02,50400
2022-02-03,39711.81818
2022-02-04,41106.42857
2022-02-05,54137.08333
2022-02-06,59000
2022-02-07,86750
2022-02-08,43666.66667
2022-02-09,73982.14286
2022-02-10,66180.55556
2022-02-11,50384.33333
2022-02-12,56332
2022-02-13,68437.5
2022-02-14,46614.28571
2022-02-15,52775
2022-02-16,64130
2022-02-17,88037.5
2022-02-18,56144.73684
2022-02-19,49279.80769
2022-02-20,61450
2022-02-21,79567.85714
2022-02-22,80680.90909
2022-02-23,56328.73684
2022-02-24,77300
2022-02-25,94576.875
2022-02-26,52723.1
2022-02-27,43425
2022-02-28,78489.70588
2022-03-01,75871.42857
2022-03-02,74783.33333
2022-03-03,69535
2022-03-04,43331.25
2022-03-05,55145.2381
2022-03-06,30500
2022-03-07,44100
2022-03-08,77480.76923
2022-03-09,75892.85714
2022-03-10,77789.28571
2022-03-11,54645.58824
2022-03-12,48043.51852
2022-03-13,45729.2
2022-03-14,64842.72727
2022-03-15,63200
2022-03-16,74711.36364
2022-03-17,74143.75
2022-03-18,111552.5
2022-03-19,55987.5
2022-03-20,74512.5
2022-03-21,52004
2022-03-22,58000
2022-03-23,88520
2022-03-24,85800
2022-03-25,71630.58333
2022-03-26,66689.8
2022-03-27,46633.33333
2022-03-28,75900
2022-03-29,53150
2022-03-30,77316.66667
2022-03-31,55366.66667
2022-04-01,38560.76923
2022-04-02,82670
2022-04-03,45800
2022-04-04,68277.77778
2022-04-05,102525.6667
2022-04-06,49377.27273
2022-04-07,65560
2022-04-08,77823.07692
2022-04-09,68196.42857
2022-04-10,46266.66667
2022-04-11,69038.23529
2022-04-12,60538.75
2022-04-13,76498.07692
2022-04-14,68700
2022-04-15,50709.09091
2022-04-16,69669.88235
2022-04-17,98125
2022-04-18,52766
2022-04-19,85833.33333
2022-04-20,81708.33333
2022-04-21,74130
2022-04-22,80422.72727
2022-04-23,54655.11538
2022-04-24,42587.5
2022-04-25,78238.16667
2022-04-26,70785.71429
2022-04-27,43490.90909
2022-04-28,71450
2022-04-29,48506.88889
2022-04-30,62068.03571
2022-05-01,64375
2022-05-02,64125
2022-05-03,75147.8
2022-05-04,65563.75
2022-05-05,87630
2022-05-06,81044.7
2022-05-07,56066.66667
2022-05-08,75500
2022-05-09,56464.58333
2022-05-10,75316.66667
2022-05-11,63011.53846
2022-05-12,58219
2022-05-13,54412.27273
2022-05-14,49741.96296
2022-05-15,65475
2022-05-16,56042.5
2022-05-17,67926.9
2022-05-18,64671.42857
2022-05-19,90350
2022-05-20,68704.16667
2022-05-21,55498.94737
2022-05-22,48550
2022-05-23,53357
2022-05-24,68344.72727
2022-05-25,70761.53846
2022-05-26,68308.33333
2022-05-27,88460
2022-05-28,50840.71429
2022-05-29,220000
2022-05-30,92577.14286
2022-05-31,61505
2022-06-01,39015.55556
2022-06-02,66302.77778
2022-06-03,100357.1429
2022-06-04,84897.75
2022-06-05,47583.33333
2022-06-06,54075
2022-06-07,43039
2022-06-08,67722.72727
2022-06-09,79812.54545
2022-06-10,62427.27273
2022-06-11,54660.29412
2022-06-12,73447.5
2022-06-13,78769.23077
2022-06-14,69580.71429
2022-06-15,76211.11111
2022-06-16,95975
2022-06-17,138340.9091
2022-06-18,75702.91667
2022-06-19,56070
2022-06-20,96055.55556
2022-06-21,94427.14286
2022-06-22,59635.3
2022-06-23,99480.76923
2022-06-24,66395.83333
2022-06-25,54943.23529
