CNTRCT_DE,RENT_GTN
2022-01-01,31866.66667
2022-01-02,33800
2022-01-03,45426.92308
2022-01-04,35127.27273
2022-01-05,40591.66667
2022-01-06,36805
2022-01-07,41823.6087
2022-01-08,40409.28571
2022-01-09,45287.5
2022-01-10,36754.16667
2022-01-11,38829.16667
2022-01-12,32176.09524
2022-01-13,33334.83333
2022-01-14,30673.07692
2022-01-15,37697.67442
2022-01-16,38562.5
2022-01-17,31870
2022-01-18,29700.52
2022-01-19,32484.17391
2022-01-20,33705.13043
2022-01-21,32868.80952
2022-01-22,37209.48276
2022-01-23,38972.72727
2022-01-24,31422.625
2022-01-25,31993.42857
2022-01-26,28789.47619
2022-01-27,30454.5
2022-01-28,33944
2022-01-29,39283.82353
2022-01-31,30936
2022-02-02,27900
2022-02-03,27834
2022-02-04,39521.42857
2022-02-05,37703.47222
2022-02-06,37033.33333
2022-02-07,38965.38462
2022-02-08,39384.375
2022-02-09,37267.5
2022-02-10,35500.26667
2022-02-11,37334.61538
2022-02-12,39562.77143
2022-02-13,37238.88889
2022-02-14,35638.58333
2022-02-15,37372.72727
2022-02-16,25196.5
2022-02-17,32868.90909
2022-02-18,32852.69565
2022-02-19,40323.83721
2022-02-20,39855.55556
2022-02-21,30790
2022-02-22,29478.7
2022-02-23,29260.40741
2022-02-24,34976.48
2022-02-25,30859.88
2022-02-26,37920
2022-02-27,35143.75
2022-02-28,38484.69565
2022-03-01,35943.75
2022-03-02,40990.90909
2022-03-03,32960.71429
2022-03-04,33612.5
2022-03-05,37992.95652
2022-03-06,37217.85714
2022-03-07,28658.33333
2022-03-08,21283.88889
2022-03-09,35973.94737
2022-03-10,48248.1
2022-03-11,44079.5625
2022-03-12,38263.18182
2022-03-13,36530
2022-03-14,38272.72727
2022-03-15,36528.73684
2022-03-16,34443.23529
2022-03-17,34380
2022-03-18,31510.17647
2022-03-19,35539.12903
2022-03-20,51808.33333
2022-03-21,34268.66102
2022-03-22,28530.25
2022-03-23,34246.57895
2022-03-24,33315.8
2022-03-25,40632
2022-03-26,41072.70455
2022-03-27,35875
2022-03-28,37086.83333
2022-03-29,32179.46154
2022-03-30,38405.25
2022-03-31,35990.72222
2022-04-01,40510.71429
2022-04-02,41189.70588
