CNTRCT_DE,RENT_GTN
2022-01-01,24000
2022-01-03,43800
2022-01-04,72525
2022-01-05,70166.66667
2022-01-06,59375
2022-01-07,45477.77778
2022-01-08,49346.66667
2022-01-09,39000
2022-01-10,31540
2022-01-11,34628.57143
2022-01-12,36666.66667
2022-01-13,45500
2022-01-14,21375
2022-01-15,30406.25
2022-01-16,46650
2022-01-17,77166.66667
2022-01-18,46075
2022-01-19,22500
2022-01-20,60000
2022-01-21,34687.5
2022-01-22,39344.44444
2022-01-23,35750
2022-01-24,28911.11111
2022-01-25,43214.28571
2022-01-26,41196.66667
2022-01-27,41231.25
2022-01-28,46239.28571
2022-01-29,37666.66667
2022-01-31,11000
2022-02-03,84625
2022-02-04,38250
2022-02-05,42150
2022-02-06,21000
2022-02-07,39544.44444
2022-02-08,45800
2022-02-09,68000
2022-02-10,33833.33333
2022-02-11,33866.66667
2022-02-12,55656.66667
2022-02-14,51940
2022-02-15,48000
2022-02-16,44550
2022-02-17,38383.33333
2022-02-18,45133.33333
2022-02-19,63333.33333
2022-02-20,69000
2022-02-21,48866.66667
2022-02-22,31000
2022-02-23,60000
2022-02-24,50428.57143
2022-02-25,25125
2022-02-26,36402.27273
2022-02-27,47600
2022-02-28,44094.44444
2022-03-01,13260
2022-03-02,44225
2022-03-03,40000
2022-03-04,36420.83333
2022-03-05,33166.66667
2022-03-06,125000
2022-03-07,25691.66667
2022-03-08,24650
2022-03-09,31750
2022-03-10,61566.66667
2022-03-11,63050
2022-03-12,52250
2022-03-14,38400
2022-03-15,61359
2022-03-16,40618.75
2022-03-17,22500
2022-03-18,29466.66667
2022-03-19,50000
2022-03-20,68600
2022-03-22,27900
2022-03-23,64575
2022-03-24,33512.5
2022-03-25,57750
2022-03-26,80775
2022-03-27,125000
2022-03-28,30640
2022-03-29,125000
2022-03-30,22500
2022-03-31,71250
2022-04-01,94500
2022-04-02,41937.5
2022-04-04,16800
2022-04-05,102375
2022-04-06,59333.33333
2022-04-07,37000
2022-04-08,40000
2022-04-09,49900
2022-04-10,120000
2022-04-11,72333.33333
2022-04-12,43750
2022-04-13,30000
2022-04-14,30000
2022-04-15,52900
2022-04-16,65437.5
2022-04-18,23650
2022-04-19,70000
2022-04-20,31391.66667
2022-04-21,26918.75
2022-04-22,41670
2022-04-23,41166.66667
2022-04-24,27000
2022-04-25,49350
2022-04-26,36500
2022-04-27,23500
2022-04-28,75750
2022-04-29,33207.14286
2022-04-30,53875
2022-05-01,39237.5
2022-05-02,40750
2022-05-03,65571.42857
2022-05-04,27500
2022-05-05,12600
2022-05-06,45540
2022-05-07,61100
2022-05-09,66750
2022-05-10,40416.66667
2022-05-11,28300
2022-05-13,40750
2022-05-14,45100
2022-05-15,13000
2022-05-16,51833.33333
2022-05-17,36725
2022-05-18,97033.33333
2022-05-19,12000
2022-05-20,60100
2022-05-21,62120
2022-05-22,130000
2022-05-23,51750
2022-05-24,48000
2022-05-25,66250
2022-05-26,16000
2022-05-27,87941.66667
2022-05-28,34342.85714
2022-05-29,47000
2022-05-30,46100
2022-05-31,66616.66667
2022-06-01,28575
2022-06-02,50000
2022-06-03,67097.5
2022-06-04,49725
2022-06-06,66666.66667
2022-06-07,26000
2022-06-08,30400
2022-06-09,64212.5
2022-06-10,20008.33333
2022-06-11,66321.42857
2022-06-12,44275
2022-06-13,70500
2022-06-14,24000
2022-06-15,28258.33333
2022-06-16,37566.66667
2022-06-17,54833.33333
2022-06-18,38677.77778
2022-06-19,42000
2022-06-20,42625
2022-06-21,73687.5
2022-06-22,34522.22222
2022-06-23,83000
2022-06-24,18000
2022-06-25,46307.14286
2022-06-26,32500
2022-06-27,62300
2022-06-28,71375
2022-06-29,90000
2022-06-30,23370
2022-07-01,40987.5
2022-07-02,49150
2022-07-03,14700
2022-07-04,38425
2022-07-05,35250
2022-07-06,32750
2022-07-07,61433.33333
2022-07-08,33800
2022-07-09,36500
2022-07-10,25500
2022-07-11,28850
2022-07-12,48000
2022-07-13,34625
2022-07-14,68200
2022-07-15,30942.85714
2022-07-16,27825
2022-07-17,88000
2022-07-18,50385.71429
2022-07-19,23962.5
2022-07-20,34666.66667
2022-07-21,49906.25
2022-07-22,28213.63636
2022-07-23,51717.5
2022-07-24,10000
2022-07-25,40625
2022-07-26,29580
2022-07-27,18820
2022-07-28,37800
2022-07-29,43933.33333
2022-07-30,35260.71429
2022-07-31,40000
2022-08-01,43500
2022-08-02,22087.5
2022-08-03,46666.66667
2022-08-04,21750
2022-08-05,45205
2022-08-06,52970
2022-08-07,45000
2022-08-08,38333.33333
2022-08-09,33000
2022-08-10,51825
2022-08-11,27166.66667
2022-08-12,34500
2022-08-13,38560
2022-08-14,28000
2022-08-15,42925
2022-08-16,17690
2022-08-17,26376.16667
2022-08-18,37032
2022-08-19,61125
2022-08-20,43690
2022-08-21,48350
2022-08-22,57250
2022-08-23,30125
2022-08-24,48296
2022-08-25,26441.66667
2022-08-26,28300
2022-08-27,42962.5
2022-08-29,32333.33333
2022-08-30,35850
2022-08-31,18217.5
2022-09-01,18500
2022-09-02,32075
2022-09-03,25080
2022-09-05,57266.66667
2022-09-06,29000
2022-09-07,49833.33333
2022-09-08,44400
2022-09-13,22260
2022-09-14,28000
2022-09-15,63932.85714
2022-09-16,23000
2022-09-17,40530.55556
2022-09-18,28450
2022-09-19,32012.5
2022-09-20,25256.25
2022-09-21,15760
2022-09-22,46500
2022-09-23,59000
2022-09-24,45250
2022-09-25,84000
2022-09-26,30425
2022-09-27,45990
2022-09-28,49633.33333
2022-09-29,55625
2022-09-30,100050
2022-10-01,26896.66667
2022-10-02,20000
2022-10-03,29163.33333
2022-10-04,59633.33333
2022-10-05,20570
2022-10-06,22600
2022-10-07,51100
2022-10-08,52300
2022-10-10,75000
2022-10-11,46000
2022-10-12,30000
2022-10-13,51500
2022-10-14,45740
2022-10-15,60206.66667
2022-10-16,27750
2022-10-17,23525
2022-10-18,44800
2022-10-19,20000
2022-10-22,56300
2022-10-23,40000
2022-10-24,69483.33333
2022-10-25,20500
2022-10-26,42166.66667
2022-10-27,49050
2022-10-28,110000
2022-10-29,48375
2022-10-31,46342.85714
2022-11-01,82680
2022-11-02,45466.66667
2022-11-03,21333.33333
2022-11-04,47625
2022-11-05,62412.5
2022-11-06,28350
2022-11-07,45500
2022-11-08,44300
2022-11-09,32400
2022-11-10,85300
2022-11-11,35239.28571
2022-11-12,29000
2022-11-13,24000
2022-11-14,20200
2022-11-15,40500
2022-11-16,19000
2022-11-17,89250
2022-11-18,25000
2022-11-19,53380
2022-11-22,52500
2022-11-23,66500
2022-11-24,59750
2022-11-25,60000
2022-11-26,51591.66667
2022-11-28,63500
2022-11-29,46383.33333
2022-11-30,70500
2022-12-01,63000
2022-12-02,52200
2022-12-03,72500
2022-12-04,48000
2022-12-06,20000
2022-12-07,87833.33333
2022-12-08,27525
2022-12-09,59000
2022-12-10,66900
2022-12-11,41895
2022-12-12,71833.33333
2022-12-13,97500
2022-12-14,66500
2022-12-16,66642.85714
2022-12-17,49526.66667
2022-12-19,13000
2022-12-20,20000
2022-12-21,100000
2022-12-22,31666.66667
2022-12-23,42520
2022-12-24,37500
2022-12-26,91000
2022-12-27,24000
2022-12-28,44000
2022-12-29,77000
2022-12-30,49000
2023-01-02,61166.66667
2023-01-03,26000
2023-01-04,82000
2023-01-05,103750
2023-01-06,48000
2023-01-07,45000
2023-01-09,23000
2023-01-10,27310
2023-01-11,18333.33333
2023-01-12,30000
2023-01-13,91500
2023-01-14,34333.33333
2023-01-15,90000
2023-01-16,33000
2023-01-17,61000
2023-01-19,105000
2023-01-20,67175
2023-01-24,57750
2023-01-25,33500
2023-01-27,57500
2023-01-28,38000
