CNTRCT_DE,RENT_GTN
2022-01-01,19233.33333
2022-01-02,30000
2022-01-03,41642.85714
2022-01-04,91000
2022-01-05,48083.33333
2022-01-06,28750
2022-01-07,57345
2022-01-08,53492.5
2022-01-09,22800
2022-01-10,29892.85714
2022-01-11,55638.46154
2022-01-12,61668.75
2022-01-13,60635.71429
2022-01-14,52754.16667
2022-01-15,49322.61905
2022-01-16,39250
2022-01-17,57675
2022-01-18,51268.75
2022-01-19,46950
2022-01-20,54071.36364
2022-01-21,52980
2022-01-22,48790
2022-01-23,35508.33333
2022-01-24,54151.66667
2022-01-25,44672.22222
2022-01-26,41800
2022-01-27,44187.5
2022-01-28,50998.46154
2022-01-29,51550
2022-01-31,18110
2022-02-03,44750
2022-02-04,44500
2022-02-05,40012.5
2022-02-06,34000
2022-02-07,42813.63636
2022-02-08,42789.28571
2022-02-09,48112.5
2022-02-10,63635
2022-02-11,54559.09091
2022-02-12,52471.2963
2022-02-13,62850
2022-02-14,44927.77778
2022-02-15,56890.41667
2022-02-16,42522.5
2022-02-17,46350
2022-02-18,44355.55556
2022-02-19,48912.5
2022-02-20,46516.66667
2022-02-21,41389.30769
2022-02-22,29042.85714
2022-02-23,42287.5
2022-02-24,51833.33333
2022-02-25,68550
2022-02-26,61192.30769
2022-02-27,35000
2022-02-28,48850.71429
2022-03-01,42277.77778
2022-03-02,54919.23077
2022-03-03,54075
2022-03-04,31758.33333
2022-03-05,57480.76923
2022-03-07,45316.66667
2022-03-08,47575
2022-03-09,60050
2022-03-10,30924.8
2022-03-11,37830
2022-03-12,54170.52632
2022-03-13,32500
2022-03-14,33510
2022-03-15,48371.42857
2022-03-16,47107.27273
2022-03-17,35975
2022-03-18,47698
2022-03-19,47560
2022-03-20,30125
2022-03-21,24752
2022-03-22,19611.5
2022-03-23,41250
2022-03-24,76040
2022-03-25,42537.5
2022-03-26,49761.66667
2022-03-28,42375
2022-03-29,49508.33333
2022-03-30,46425
2022-03-31,52409.09091
2022-04-01,54566.66667
2022-04-02,48750
2022-04-03,48975
2022-04-04,45077.77778
2022-04-05,55650
2022-04-06,53437.5
2022-04-07,53100
2022-04-08,103180
2022-04-09,55810
2022-04-11,57566.66667
2022-04-12,48457.14286
2022-04-13,81500
2022-04-14,44326.875
2022-04-15,28500
2022-04-16,43244.11765
2022-04-17,26000
2022-04-18,53392.85714
2022-04-19,73050
2022-04-20,63795
2022-04-21,46137.5
2022-04-22,46900
2022-04-23,43995.45455
2022-04-24,30000
2022-04-25,43958.33333
2022-04-26,59333.33333
2022-04-27,19833.33333
2022-04-28,66275
2022-04-29,67235
2022-04-30,69916.66667
2022-05-02,57735.71429
2022-05-03,42040
2022-05-04,47600
2022-05-05,65250
2022-05-06,44300
2022-05-07,60184.58333
2022-05-08,21000
2022-05-09,61187.5
2022-05-10,44266.875
2022-05-11,33263
2022-05-12,55480
2022-05-13,37150
2022-05-14,32308.33333
2022-05-15,53622
2022-05-16,35916
2022-05-17,38266.66667
2022-05-18,50136.875
2022-05-19,60975
2022-05-20,48765
2022-05-21,49390.90909
2022-05-22,59000
2022-05-23,43666.66667
2022-05-24,30362.5
2022-05-25,35632.72727
2022-05-26,48000
2022-05-27,71750
2022-05-28,48276.78571
2022-05-29,165000
2022-05-30,42350
2022-05-31,41477.77778
2022-06-01,51155
2022-06-02,34350
2022-06-03,37862.85714
2022-06-04,50700
2022-06-05,34166.66667
2022-06-06,45413.75
2022-06-07,25063.42857
2022-06-08,37850
2022-06-09,21916.66667
2022-06-10,54912.72727
2022-06-11,54194.23077
2022-06-12,39900
2022-06-13,48927.77778
2022-06-14,41357.14286
2022-06-15,78830
2022-06-16,53123.33333
2022-06-17,44612
2022-06-18,45243.0625
2022-06-20,37121.14286
2022-06-21,51050
2022-06-22,15562.6
2022-06-23,34389
2022-06-24,37560
2022-06-25,46656.38889
2022-06-26,58475
2022-06-27,51837.5
2022-06-28,41103.125
2022-06-29,39700
2022-06-30,45583.33333
2022-07-01,47495
2022-07-02,54147.66667
2022-07-03,29000
2022-07-04,46321.42857
2022-07-05,73650
2022-07-06,38100
2022-07-07,44407.16667
2022-07-08,44818.18182
