CNTRCT_DE,RENT_GTN
2022-01-01,23350
2022-01-02,20000
2022-01-03,23891.66667
2022-01-04,25475
2022-01-05,34000
2022-01-06,40388.88889
2022-01-07,35577.77778
2022-01-08,37242.59259
2022-01-09,52500
2022-01-10,36425
2022-01-11,29016.3125
2022-01-12,28731.72727
2022-01-13,27166.66667
2022-01-14,24888.88889
2022-01-15,28978.33333
2022-01-16,32149
2022-01-17,36885.71429
2022-01-18,29153
2022-01-19,34162.5
2022-01-20,33047.64286
2022-01-21,38565.625
2022-01-22,26313.125
2022-01-23,50900
2022-01-24,26428.19048
2022-01-25,20987.5
2022-01-26,24021.875
2022-01-27,29734.70588
2022-01-28,29870.2381
2022-01-29,34725
2022-01-30,24125
2022-01-31,34650
2022-02-02,30000
2022-02-03,30268.05882
2022-02-04,28760.52632
2022-02-05,32597.29167
2022-02-07,18375.03846
2022-02-08,20866.52632
2022-02-09,18081.76
2022-02-10,26198.36842
2022-02-11,28451.81818
2022-02-12,31696.55172
2022-02-13,31513.66667
2022-02-14,32913.8125
2022-02-15,21852.58621
2022-02-16,23678.59259
2022-02-17,18976.25806
2022-02-18,25707.15152
2022-02-19,30844
2022-02-20,24666.66667
2022-02-21,24159.21053
2022-02-22,22460.73333
2022-02-23,34630.30769
2022-02-24,26173.375
2022-02-25,30896.15385
2022-02-26,31368.57143
2022-02-27,29020
2022-02-28,32771.625
2022-03-01,40942.85714
2022-03-02,26925
2022-03-03,26273.33333
2022-03-04,35525
2022-03-05,33662.5
2022-03-06,43712.5
2022-03-07,20109.125
2022-03-08,20723.70833
2022-03-09,31211.73333
2022-03-10,25935.26316
2022-03-11,20884.23077
2022-03-12,33750
2022-03-13,29993.66667
2022-03-14,27075
2022-03-15,32778.125
2022-03-16,24907.75
2022-03-17,27788.6875
2022-03-18,22243.16667
2022-03-19,36545.45455
2022-03-20,35000
2022-03-21,19794.77778
2022-03-22,22363.82051
2022-03-23,18512.96667
2022-03-24,20785.79167
2022-03-25,23635.125
2022-03-26,30049.05
2022-03-27,29775
2022-03-28,29652.375
2022-03-29,29404.75
2022-03-30,42941.17647
2022-03-31,40219.22222
2022-04-01,21448.33333
2022-04-02,41300
2022-04-03,90000
2022-04-04,42190.90909
2022-04-05,24197.2
2022-04-06,31916.66667
2022-04-07,37293.75
2022-04-08,38471.42857
2022-04-09,37282.95455
2022-04-10,54833.33333
2022-04-11,32328.57143
2022-04-12,22538
2022-04-13,31534.375
2022-04-14,29100
2022-04-15,29514.08333
2022-04-16,33825
2022-04-17,59233.33333
2022-04-18,25745.83333
2022-04-19,24632.77778
2022-04-20,37065
2022-04-21,22747.46154
2022-04-22,44966.66667
2022-04-23,31025.76923
2022-04-24,36475
2022-04-25,24335.70588
2022-04-26,39050
2022-04-27,27499.4
2022-04-28,37468.75
2022-04-29,31683.33333
2022-04-30,33618.52381
2022-05-01,42433.33333
2022-05-02,29492.69231
2022-05-03,36750
2022-05-04,31875
2022-05-05,44666.66667
2022-05-06,35182.22222
2022-05-07,36425
2022-05-08,28179.16667
2022-05-09,31667.75
2022-05-10,31417.75
2022-05-11,28543.125
2022-05-12,43335
2022-05-13,27576.88889
2022-05-14,43468.18182
2022-05-15,37875
2022-05-16,39235.61538
2022-05-17,32614.07692
2022-05-18,26833.33333
2022-05-19,28181.25
2022-05-20,45934.07692
2022-05-21,34936.84211
2022-05-23,44681.25
2022-05-24,35037.5
2022-05-25,36321
2022-05-26,37193.75
2022-05-27,39841.66667
2022-05-28,34454.54545
2022-05-29,24114.28571
2022-05-30,44100
2022-05-31,46925
2022-06-01,43035
2022-06-02,34475
2022-06-03,20240
2022-06-04,32857.22222
2022-06-05,28350
2022-06-06,36820
2022-06-07,29315
2022-06-08,59500
2022-06-09,33818.52632
2022-06-10,39177.77778
2022-06-11,45417.17391
2022-06-12,26700
2022-06-13,22621.83333
2022-06-14,38140
2022-06-15,24256.5
2022-06-16,31618.75
2022-06-17,29265.625
2022-06-18,40566.90476
2022-06-19,34000
2022-06-20,27703.625
2022-06-21,49738.8
2022-06-22,41087.5
2022-06-23,27104.28571
2022-06-24,33950
2022-06-25,31128.46154
2022-06-27,36208.88889
2022-06-28,39288.88889
2022-06-29,39168.18182
2022-06-30,34116.11111
2022-07-01,34846.33333
2022-07-02,41309.375
2022-07-03,31150
2022-07-04,35559.61538
2022-07-05,40522.5
2022-07-06,29866.14286
2022-07-07,42550
2022-07-08,36885.71429
2022-07-09,37616.66667
2022-07-10,29400
2022-07-11,39227.6875
2022-07-12,32465.09091
2022-07-13,39643.75
2022-07-14,33312.58333
2022-07-15,34441.42857
2022-07-16,29724.72222
2022-07-17,36375
2022-07-18,34541.66667
2022-07-19,37081.125
2022-07-20,30694.11765
2022-07-21,34233.33333
2022-07-22,43112.22222
2022-07-23,48309.52381
2022-07-24,56466.66667
2022-07-25,41406.25
2022-07-26,35341.66667
2022-07-27,39556.25
2022-07-28,36531.25
2022-07-29,30011.33333
2022-07-30,40874
2022-07-31,46290
2022-08-01,21700
2022-08-02,47648
2022-08-03,49964.28571
2022-08-04,31405
2022-08-05,38193.75
2022-08-06,36592.85714
2022-08-07,49166.66667
2022-08-08,36762.42857
2022-08-09,16722.61538
2022-08-10,22851.06452
2022-08-11,28064.7619
2022-08-12,28625.85714
2022-08-13,38652.12903
2022-08-14,41000
2022-08-15,26400
2022-08-16,21005.51515
2022-08-17,24531.56522
2022-08-18,22610.95455
2022-08-19,21741.89655
2022-08-20,33914.14815
2022-08-22,37728.57143
2022-08-23,37541.6
2022-08-24,26844.33333
2022-08-25,29534.14286
2022-08-26,43050
2022-08-27,32525
2022-08-28,59333.33333
2022-08-29,42563.63636
2022-08-30,26670.2
2022-08-31,25155.14286
2022-09-01,33792.85714
2022-09-02,36012.45455
2022-09-03,33842.30769
2022-09-04,46000
2022-09-05,35734.54545
2022-09-06,34329.47368
2022-09-07,33876.81818
2022-09-08,27876.75
2022-09-09,62000
2022-09-13,27736.66667
2022-09-14,25931.1
2022-09-15,37258.88889
2022-09-16,36399.33333
2022-09-17,38386.53846
2022-09-18,39000
2022-09-19,33615
2022-09-20,42640
2022-09-21,31600
2022-09-22,36033.33333
2022-09-23,42575
2022-09-24,33209.61538
2022-09-25,51500
2022-09-26,37030
2022-09-27,31916.83333
2022-09-28,27520
2022-09-29,33322.5
2022-09-30,35745
2022-10-01,36542.14286
2022-10-02,30000
2022-10-03,20250
2022-10-04,34673.2
2022-10-05,31258.83333
2022-10-06,35900
2022-10-07,35678
2022-10-08,41015.55556
2022-10-10,40142.5
2022-10-11,35830
2022-10-12,37162.5
2022-10-13,42136
2022-10-14,36854.33333
2022-10-15,33292.72727
2022-10-16,37485
2022-10-17,39704.54545
2022-10-18,36825
2022-10-19,29327.35714
2022-10-20,32804
2022-10-21,42280
2022-10-22,36377.85714
2022-10-23,40400
2022-10-24,33975
2022-10-25,32796.875
2022-10-26,48414.28571
2022-10-27,24375
2022-10-28,24500
2022-10-29,39376.25
2022-10-30,26250
2022-10-31,36125
2022-11-01,34157.14286
2022-11-02,35500
2022-11-03,35470
2022-11-04,25652.57143
2022-11-05,37941.76471
2022-11-06,25225
2022-11-07,32748.18182
2022-11-08,32821.21429
2022-11-09,48000
2022-11-10,26658.66667
2022-11-11,23198.57143
2022-11-12,36190.90909
2022-11-13,28000
2022-11-14,29980
2022-11-15,27912.18182
2022-11-16,34028
2022-11-17,34866.66667
2022-11-18,42950
2022-11-19,22912.5
2022-11-20,57000
2022-11-21,26933.125
2022-11-22,42875
2022-11-23,32580
2022-11-24,22485.8
2022-11-25,31883.33333
2022-11-26,32775
2022-11-27,50000
2022-11-28,24840
2022-11-29,21577.77778
2022-11-30,28375
2022-12-01,23242.85714
2022-12-02,34925
2022-12-03,40886.66667
2022-12-04,40000
2022-12-05,31100
2022-12-06,27979.16667
2022-12-07,29875
2022-12-08,26850
2022-12-09,36187.5
2022-12-10,25445
2022-12-11,38375
2022-12-12,35841.30769
2022-12-13,34630.8
2022-12-14,37555.55556
2022-12-15,30366.66667
2022-12-16,35078.33333
2022-12-17,30833.33333
2022-12-18,32375
2022-12-19,31829.33333
2022-12-20,31800
2022-12-21,22875
2022-12-22,27837.5
2022-12-23,17625
2022-12-24,34375
2022-12-25,29000
2022-12-26,43157.14286
2022-12-27,70000
2022-12-28,27585.71429
2022-12-29,27612
2022-12-30,43500
2022-12-31,40250
2023-01-01,24500
2023-01-02,29866.66667
2023-01-03,32266.66667
2023-01-04,29444
2023-01-05,33475
2023-01-06,30488.57143
2023-01-07,27122.22222
2023-01-08,25666.66667
2023-01-09,35412.5
2023-01-10,36066.66667
2023-01-11,31571.42857
2023-01-12,28982.4
2023-01-13,26720
2023-01-14,36953.2
2023-01-15,31666.66667
2023-01-16,27413.75
2023-01-17,28565.75
2023-01-18,22124.1
2023-01-19,36908.33333
2023-01-20,31681.42857
2023-01-24,34000
2023-01-25,30598.33333
2023-01-26,32444.44444
2023-01-27,32400
2023-01-28,35571.42857
2023-01-29,48000
2023-01-30,25222.5
